command,data_set,real,user,sys,user_sys
msortf,100_rand,1.181,1.979,0.196,2.175
xtsort,100_rand,1.041,0.925,0.107,1.032
msortf,200_rand,3.684,4.264,0.469,4.733
xtsort,200_rand,3.329,2.191,0.392,2.583
msortf,300_rand,5.183,6.458,0.622,7.08
xtsort,300_rand,5.102,3.303,0.579,3.882
msortf,400_rand,7.699,8.706,0.82,9.526
xtsort,400_rand,6.604,4.384,0.787,5.171
msortf,500_rand,8.376,10.903,0.947,11.85
xtsort,500_rand,9.352,5.502,1.094,6.596
msortf,600_rand,11.43,13.388,1.124,14.512
xtsort,600_rand,9.839,6.607,1.135,7.742
msortf,700_rand,11.45,15.596,1.306,16.902
xtsort,700_rand,11.598,7.752,1.341,9.093
msortf,800_rand,13.404,17.934,1.5,19.434
xtsort,800_rand,13.717,8.856,1.54,10.396
msortf,900_rand,17.194,20.265,1.754,22.019
xtsort,900_rand,13.889,10.036,1.736,11.772
msortf,1000_rand,15.199,22.352,1.872,24.224
xtsort,1000_rand,16.502,11.18,1.916,13.096
msortf,100_100,1.26,1.907,0.195,2.102
xtsort,100_100,1.182,0.958,0.111,1.069
msortf,200_100,3.615,4.103,0.461,4.564
xtsort,200_100,3.348,2.174,0.392,2.566
msortf,300_100,5.063,6.203,0.645,6.848
xtsort,300_100,4.84,3.289,0.583,3.872
msortf,400_100,6.66,8.325,0.825,9.15
xtsort,400_100,6.361,4.415,0.786,5.201
msortf,500_100,7.335,10.456,0.992,11.448
xtsort,500_100,7.969,5.549,0.957,6.506
msortf,600_100,8.265,12.522,1.177,13.699
xtsort,600_100,9.98,6.666,1.159,7.825
msortf,700_100,9.977,14.789,1.344,16.133
xtsort,700_100,11.527,7.812,1.354,9.166
msortf,800_100,13.221,16.971,1.543,18.514
xtsort,800_100,20.429,9.203,1.871,11.074
msortf,900_100,27.378,19.286,2.155,21.441
xtsort,900_100,27.944,10.414,1.968,12.382
msortf,1000_100,34.173,21.292,2.491,23.783
xtsort,1000_100,32.946,11.676,2.153,13.829
msortf,100_rand,1.466,1.98,0.213,2.193
xtsort,100_rand,1.124,0.946,0.112,1.058
msortf,200_rand,3.316,4.235,0.491,4.726
xtsort,200_rand,3.131,2.159,0.396,2.555
msortf,300_rand,4.35,6.449,0.637,7.086
xtsort,300_rand,4.758,3.286,0.593,3.879
msortf,400_rand,6.535,8.732,0.823,9.555
xtsort,400_rand,7.826,4.455,0.952,5.407
msortf,500_rand,8.859,10.949,1.036,11.985
xtsort,500_rand,8.983,5.526,0.986,6.512
msortf,600_rand,9.418,13.306,1.18,14.486
xtsort,600_rand,9.447,6.619,1.182,7.801
msortf,700_rand,11.24,15.643,1.407,17.05
xtsort,700_rand,11.493,7.791,1.357,9.148
msortf,800_rand,14.721,18.017,1.624,19.641
xtsort,800_rand,14.348,8.874,1.596,10.47
msortf,900_rand,14.216,20.212,1.728,21.94
xtsort,900_rand,17.324,10.056,1.823,11.879
msortf,1000_rand,19.829,22.442,2.036,24.478
xtsort,1000_rand,27.485,11.345,2.198,13.543
msortf,100_100,1.288,1.91,0.206,2.116
xtsort,100_100,1.19,0.962,0.111,1.073
msortf,200_100,3.841,4.121,0.484,4.605
xtsort,200_100,3.426,2.169,0.406,2.575
msortf,300_100,4.85,6.202,0.638,6.84
xtsort,300_100,7.642,3.363,0.606,3.969
msortf,400_100,7.204,8.231,0.832,9.063
xtsort,400_100,6.574,4.427,0.78,5.207
msortf,500_100,7.071,10.452,0.976,11.428
xtsort,500_100,8.102,5.556,0.963,6.519
msortf,600_100,9.912,12.638,1.217,13.855
xtsort,600_100,9.866,6.723,1.221,7.944
msortf,700_100,10.02,14.798,1.365,16.163
xtsort,700_100,11.153,7.82,1.361,9.181
msortf,800_100,14.911,16.992,1.574,18.566
xtsort,800_100,12.776,9.044,1.579,10.623
msortf,900_100,21.701,19.143,2.014,21.157
xtsort,900_100,23.7,10.251,1.888,12.139
msortf,1000_100,39.414,21.444,2.658,24.102
xtsort,1000_100,32.791,11.628,2.281,13.909
msortf,100_rand,1.682,1.937,0.221,2.158
xtsort,100_rand,1.253,0.958,0.112,1.07
msortf,200_rand,3.828,4.28,0.474,4.754
xtsort,200_rand,3.571,2.173,0.415,2.588
msortf,300_rand,5.205,6.449,0.663,7.112
xtsort,300_rand,9.665,3.346,0.648,3.994
msortf,400_rand,6.78,8.739,0.839,9.578
xtsort,400_rand,7.253,4.378,0.796,5.174
msortf,500_rand,8.239,10.928,1.023,11.951
xtsort,500_rand,9.232,5.514,0.997,6.511
msortf,600_rand,11.081,13.303,1.229,14.532
xtsort,600_rand,13.748,6.752,1.306,8.058
msortf,700_rand,15.355,15.645,1.443,17.088
xtsort,700_rand,18.75,7.889,1.543,9.432
msortf,800_rand,22.311,18.029,1.805,19.834
xtsort,800_rand,23.009,9.059,1.885,10.944
msortf,900_rand,28.69,20.334,2.117,22.451
xtsort,900_rand,26.607,10.152,2.053,12.205
msortf,1000_rand,30.26,22.42,2.385,24.805
xtsort,1000_rand,31.632,11.407,2.328,13.735
msortf,100_100,1.476,1.92,0.204,2.124
xtsort,100_100,1.139,0.958,0.11,1.068
msortf,200_100,3.447,4.115,0.474,4.589
xtsort,200_100,4.429,2.196,0.4,2.596
msortf,300_100,4.248,6.184,0.644,6.828
xtsort,300_100,4.925,3.308,0.583,3.891
msortf,400_100,5.997,8.293,0.838,9.131
xtsort,400_100,6.803,4.425,0.772,5.197
msortf,500_100,8.395,10.513,1.008,11.521
xtsort,500_100,10.356,5.587,0.988,6.575
msortf,600_100,9.585,12.632,1.211,13.843
xtsort,600_100,15.898,6.784,1.4,8.184
msortf,700_100,10.808,14.792,1.337,16.129
xtsort,700_100,14.524,7.907,1.454,9.361
msortf,800_100,15.186,16.991,1.611,18.602
