manufacturer,CategoryCode4,totalQuantity,totalAmount
0000,1301,4,1248
0002,1118,36,9990
0011,1108,9,1980
0013,1105,151,121787
0013,1110,135,38364
0013,1121,32,11924
0018,1116,68,23979
0019,1121,25,13051
0023,1107,174,98112
0024,1406,21,10731
0025,1303,106,50153
0026,1301,48,17272
0034,1103,21,5418
0038,1112,66,44836
0039,1118,11,5225
0048,1101,74,23735
0048,1106,123,55275
0052,1111,114,38652
0054,1101,8,4392
0054,1110,2,570
0054,1301,168,85587
0061,1106,130,55673
0062,1119,135,61755
0064,1104,16,3456
0068,1121,145,98977
0076,1102,4,1516
0076,1121,11,4140
0079,1101,76,12198
0080,1403,49,14988
0085,1108,114,33129
0090,1113,17,6103
0093,1101,8,3896
0094,1401,167,83512
0096,1401,27,12714
0099,1406,85,36727
0104,1111,64,22371
0104,1115,101,35466
0104,1301,74,17612
0107,1107,191,97441
0108,1402,175,91065
0109,1121,152,48986
0110,1111,12,4440
0112,1118,106,21510
0115,1101,19,6066
0115,1107,20,10520
0119,1115,15,4395
0120,1301,112,64206
0121,1101,64,26914
0125,1403,30,4860
0126,1107,122,39178
0129,1403,118,30071
0129,1404,11,2464
0134,1102,75,21820
0136,1108,89,35982
0138,1111,123,53655
0140,1107,131,60379
0143,1119,88,11864
0147,1197,39,16338
0147,1401,100,44661
0151,1117,188,96141
0152,1104,24,12008
0153,1404,106,38467
0155,1106,13,4420
0158,1117,105,27813
0164,1406,47,28347
0165,1303,8,4816
0171,1119,210,82809
0174,1301,13,3068
0175,1403,222,84737
0178,1121,80,32247
0179,1111,37,5895
0188,1121,230,157569
0189,1104,142,71312
0189,1406,61,26596
0191,1105,161,71480
0191,1119,100,53161
0192,1112,116,68590
0193,1102,137,56234
0194,1403,21,6972
0198,1402,47,20979
0203,1406,49,30211
0207,1302,67,49218
0208,1102,69,29161
0218,1118,1,240
0220,1111,33,15075
0226,1115,27,9747
0227,1107,92,53598
0227,1497,140,78060
0231,1304,6,1182
0235,1103,71,25020
0244,1101,42,22176
0244,1304,8,4424
0255,1401,68,31785
0263,1403,122,40614
0266,1101,234,113256
0266,1406,39,4596
0268,1106,52,31464
0282,1102,32,10615
0285,1301,33,14355
0287,1304,9,1611
0290,1120,52,22632
0293,1297,80,31955
0295,1101,84,27469
0295,1116,5,1025
0299,1118,37,23791
0300,1105,75,41333
0302,1105,126,119811
0302,1403,93,43189
0303,1304,24,10440
0308,1406,10,5760
0312,1121,35,17107
0315,1116,135,83370
0316,1201,16,5568
0318,1403,19,6821
0319,1101,132,79999
0320,1301,68,38580
0321,1121,37,11901
0327,1117,7,4601
0335,1403,16,7376
0338,1101,117,78841
0338,1404,62,15449
0340,1301,65,31771
0341,1106,153,73800
0344,1104,106,42600
0346,1119,196,131581
0353,1104,110,47032
0358,1121,124,49098
0361,1406,158,84409
0367,1121,47,8861
0369,1401,17,6156
0369,1403,136,57189
0370,1104,128,35407
0371,1403,131,56298
0376,1102,161,69265
0384,1104,12,6396
0386,1301,200,79104
0388,1301,30,15150
0393,1103,75,45924
0394,1303,99,45764
0399,1403,16,7472
0401,1112,10,3610
0405,1111,135,53293
0405,1402,157,83089
0407,1111,189,94272
0412,1121,79,36669
0415,1112,4,1768
0416,1301,87,40865
0418,1406,28,17160
0420,1102,58,29737
0423,1406,192,75144
0427,1406,12,4404
0433,1119,9,5499
0438,1120,213,151670
0442,1107,174,104785
0449,1120,44,14744
0454,1115,12,4809
0456,1101,30,14640
0463,1111,73,9914
0463,1119,144,48934
0465,1120,164,47871
0471,1117,104,61521
0471,1302,142,78186
0472,1121,56,34039
0473,1105,19,6232
0473,1111,64,29433
0477,1106,50,5050
0477,1116,19,10044
0480,1110,8,5088
0482,1119,135,109345
0484,1113,16,5769
0485,1101,110,19413
0494,1108,39,12831
0501,1197,167,96177
0506,1108,185,80846
0508,1101,237,65448
0508,1110,8,2864
0518,1301,111,73168
0522,1101,85,30846
0522,1103,1,496
0522,1121,45,18688
0523,1105,166,96630
0524,1121,24,7896
0530,1197,21,3612
0533,1106,56,17766
0536,1301,148,71611
0542,1102,160,146565
0544,1115,20,4695
0545,1115,86,14806
0546,1301,31,13219
0547,1107,75,25263
0549,1404,62,35772
0550,1107,134,80729
0550,1403,76,27892
0552,1111,31,15651
0554,1115,45,11637
0556,1402,219,112219
0561,1302,47,35807
0565,1110,83,26381
0566,1105,20,7620
0567,1116,104,57688
0569,1101,120,85694
0570,1406,103,56154
0572,1120,15,7057
0573,1201,34,19890
0578,1304,146,91619
0581,1113,12,5640
0585,1403,134,77063
0586,1303,69,28246
0590,1401,129,79483
0590,1403,65,38479
0591,1117,55,27833
0594,1103,9,6354
0594,1303,35,20167
0596,1107,4,2088
0596,1110,30,9687
0596,1301,116,60079
0597,1406,204,37118
0598,1402,2,706
0604,1401,103,55345
0605,1115,129,44523
0606,1303,106,34575
0610,1110,36,17208
0612,1105,21,14154
0614,1404,87,36215
0616,1105,148,89144
0617,1120,86,17262
0617,1403,58,23311
0621,1119,105,58252
0621,1301,23,5474
0623,1119,104,57368
0649,1104,100,63678
0649,1117,16,7312
0663,1103,144,45973
0670,1406,21,10332
0674,1107,34,5814
0675,1404,27,13058
0678,1113,117,48526
0678,1406,85,63748
0679,1101,87,19116
0679,1105,88,60572
0686,1110,4,1328
0690,1112,149,125563
0691,1401,12,5844
0694,1406,171,70448
0701,1121,156,71936
0707,1404,160,134154
0712,1101,13,4719
0712,1302,101,52097
0713,1110,205,107899
0714,1406,50,13738
0716,1108,6,3552
0717,1117,115,35319
0725,1107,116,20823
0728,1115,194,225163
0729,1121,82,30154
0735,1104,8,3072
0736,1112,118,54043
0742,1121,33,6342
0744,1104,92,46878
0745,1113,176,65892
0749,1402,85,43132
0750,1406,29,10005
0751,1108,201,67645
0752,1115,39,14399
0760,1401,27,6318
0764,1117,5,2210
0769,1401,133,36305
0773,1304,25,6900
0773,1402,92,44136
0777,1112,54,26384
0779,1114,18,3384
0779,1301,64,17577
0779,1401,38,18838
0780,1119,9,2979
0781,1104,122,42392
0786,1105,15,7065
0788,1403,78,29371
0789,1111,8,2752
0793,1301,49,37338
0796,1107,5,2940
0799,1121,100,52552
0802,1113,50,24033
0804,1118,37,17994
0807,1101,128,24105
0811,1301,9,2988
