customer,date,dayDiff
00000A,20011209,4345
00000A,20011209,4345
00000A,20011209,4345
00000A,20011209,4345
00000A,20011217,4337
00000A,20011217,4337
00000A,20011217,4337
00000B,20011209,4345
00000B,20011209,4345
00000B,20011209,4345
00000B,20011209,4345
00000B,20011217,4337
00000B,20011217,4337
00000B,20011217,4337
00000C,20011209,4345
00000C,20011209,4345
00000C,20011209,4345
00000C,20011209,4345
00000C,20011217,4337
00000C,20011217,4337
00000C,20011217,4337
00000D,20011209,4345
00000D,20011209,4345
00000D,20011209,4345
00000D,20011209,4345
00000D,20011217,4337
00000D,20011217,4337
00000D,20011217,4337
00001A,20011124,4360
00001A,20011124,4360
00001A,20011124,4360
00001A,20011124,4360
00001A,20011124,4360
00001A,20011124,4360
00001A,20011211,4343
00001A,20011211,4343
00001A,20011211,4343
00001A,20011211,4343
00001A,20011211,4343
00001A,20011211,4343
00001A,20011215,4339
00001B,20011124,4360
00001B,20011124,4360
00001B,20011124,4360
00001B,20011124,4360
00001B,20011124,4360
00001B,20011124,4360
00001B,20011211,4343
00001B,20011211,4343
00001B,20011211,4343
00001B,20011211,4343
00001B,20011211,4343
00001B,20011211,4343
00001B,20011215,4339
00001C,20011124,4360
00001C,20011124,4360
00001C,20011124,4360
00001C,20011124,4360
00001C,20011124,4360
00001C,20011124,4360
00001C,20011211,4343
00001C,20011211,4343
00001C,20011211,4343
00001C,20011211,4343
00001C,20011211,4343
00001C,20011211,4343
00001C,20011215,4339
00001D,20011124,4360
00001D,20011124,4360
00001D,20011124,4360
00001D,20011124,4360
00001D,20011124,4360
00001D,20011124,4360
00001D,20011211,4343
00001D,20011211,4343
00001D,20011211,4343
00001D,20011211,4343
00001D,20011211,4343
00001D,20011211,4343
00001D,20011215,4339
00002A,20010417,4581
00002A,20010417,4581
00002A,20010417,4581
00002A,20010417,4581
00002A,20010417,4581
00002A,20010417,4581
00002A,20010618,4519
00002A,20010618,4519
00002A,20010618,4519
00002A,20010618,4519
00002A,20010618,4519
00002A,20010715,4492
00002A,20010715,4492
00002A,20010715,4492
00002A,20010718,4489
00002A,20010718,4489
00002A,20010718,4489
00002A,20010718,4489
00002A,20010718,4489
00002B,20010417,4581
00002B,20010417,4581
00002B,20010417,4581
00002B,20010417,4581
00002B,20010417,4581
00002B,20010417,4581
00002B,20010618,4519
00002B,20010618,4519
00002B,20010618,4519
00002B,20010618,4519
00002B,20010618,4519
00002B,20010715,4492
00002B,20010715,4492
00002B,20010715,4492
00002B,20010718,4489
00002B,20010718,4489
00002B,20010718,4489
00002B,20010718,4489
00002B,20010718,4489
00002C,20010417,4581
00002C,20010417,4581
00002C,20010417,4581
00002C,20010417,4581
00002C,20010417,4581
00002C,20010417,4581
00002C,20010618,4519
00002C,20010618,4519
00002C,20010618,4519
00002C,20010618,4519
00002C,20010618,4519
00002C,20010715,4492
00002C,20010715,4492
00002C,20010715,4492
00002C,20010718,4489
00002C,20010718,4489
00002C,20010718,4489
00002C,20010718,4489
00002C,20010718,4489
00002D,20010417,4581
00002D,20010417,4581
00002D,20010417,4581
00002D,20010417,4581
00002D,20010417,4581
00002D,20010417,4581
00002D,20010618,4519
00002D,20010618,4519
00002D,20010618,4519
00002D,20010618,4519
00002D,20010618,4519
00002D,20010715,4492
00002D,20010715,4492
00002D,20010715,4492
00002D,20010718,4489
00002D,20010718,4489
00002D,20010718,4489
00002D,20010718,4489
00002D,20010718,4489
00003A,20010826,4450
00003A,20010826,4450
00003A,20010826,4450
00003A,20010826,4450
00003A,20010826,4450
00003A,20010826,4450
00003A,20011129,4355
00003A,20011129,4355
00003A,20011129,4355
00003A,20011129,4355
00003A,20011129,4355
00003A,20011129,4355
00003A,20011218,4336
00003A,20011218,4336
00003A,20011218,4336
00003A,20011218,4336
00003A,20011218,4336
00003A,20011218,4336
00003A,20011218,4336
00003A,20011218,4336
00003A,20011218,4336
00003A,20011218,4336
00003A,20011218,4336
00003B,20010826,4450
00003B,20010826,4450
00003B,20010826,4450
00003B,20010826,4450
00003B,20010826,4450
00003B,20010826,4450
00003B,20011129,4355
00003B,20011129,4355
00003B,20011129,4355
00003B,20011129,4355
00003B,20011129,4355
00003B,20011129,4355
00003B,20011218,4336
00003B,20011218,4336
00003B,20011218,4336
00003B,20011218,4336
00003B,20011218,4336
00003B,20011218,4336
00003B,20011218,4336
00003B,20011218,4336
00003B,20011218,4336
00003B,20011218,4336
00003B,20011218,4336
00003C,20010826,4450
00003C,20010826,4450
00003C,20010826,4450
00003C,20010826,4450
00003C,20010826,4450
00003C,20010826,4450
00003C,20011129,4355
00003C,20011129,4355
00003C,20011129,4355
00003C,20011129,4355
00003C,20011129,4355
00003C,20011129,4355
00003C,20011218,4336
00003C,20011218,4336
00003C,20011218,4336
00003C,20011218,4336
00003C,20011218,4336
00003C,20011218,4336
00003C,20011218,4336
00003C,20011218,4336
00003C,20011218,4336
00003C,20011218,4336
00003C,20011218,4336
00003D,20010826,4450
00003D,20010826,4450
00003D,20010826,4450
00003D,20010826,4450
00003D,20010826,4450
00003D,20010826,4450
00003D,20011129,4355
00003D,20011129,4355
00003D,20011129,4355
00003D,20011129,4355
00003D,20011129,4355
00003D,20011129,4355
00003D,20011218,4336
00003D,20011218,4336
00003D,20011218,4336
00003D,20011218,4336
00003D,20011218,4336
00003D,20011218,4336
00003D,20011218,4336
00003D,20011218,4336
00003D,20011218,4336
00003D,20011218,4336
00003D,20011218,4336
00004A,20010224,4633
00004A,20010224,4633
00004A,20010224,4633
00004A,20010224,4633
00004A,20010227,4630
00004A,20010227,4630
00004A,20010227,4630
00004A,20010227,4630
00004A,20010227,4630
00004A,20010227,4630
00004A,20010227,4630
00004A,20010227,4630
00004A,20010325,4604
00004A,20010325,4604
00004A,20010325,4604
00004A,20010325,4604
00004A,20010325,4604
00004A,20010325,4604
00004A,20010325,4604
00004A,20010612,4525
00004A,20010612,4525
00004A,20010612,4525
00004A,20010612,4525
00004A,20010612,4525
00004A,20010612,4525
00004B,20010224,4633
00004B,20010224,4633
00004B,20010224,4633
00004B,20010224,4633
00004B,20010227,4630
00004B,20010227,4630
00004B,20010227,4630
00004B,20010227,4630
00004B,20010227,4630
00004B,20010227,4630
00004B,20010227,4630
00004B,20010227,4630
00004B,20010325,4604
00004B,20010325,4604
00004B,20010325,4604
00004B,20010325,4604
00004B,20010325,4604
00004B,20010325,4604
00004B,20010325,4604
00004B,20010612,4525
00004B,20010612,4525
00004B,20010612,4525
00004B,20010612,4525
00004B,20010612,4525
00004B,20010612,4525
00004C,20010224,4633
00004C,20010224,4633
00004C,20010224,4633
00004C,20010224,4633
00004C,20010227,4630
00004C,20010227,4630
00004C,20010227,4630
00004C,20010227,4630
00004C,20010227,4630
00004C,20010227,4630
00004C,20010227,4630
00004C,20010227,4630
00004C,20010325,4604
00004C,20010325,4604
00004C,20010325,4604
00004C,20010325,4604
00004C,20010325,4604
00004C,20010325,4604
00004C,20010325,4604
00004C,20010612,4525
00004C,20010612,4525
00004C,20010612,4525
00004C,20010612,4525
00004C,20010612,4525
00004C,20010612,4525
00004D,20010224,4633
00004D,20010224,4633
00004D,20010224,4633
00004D,20010224,4633
00004D,20010227,4630
00004D,20010227,4630
00004D,20010227,4630
00004D,20010227,4630
00004D,20010227,4630
00004D,20010227,4630
00004D,20010227,4630
00004D,20010227,4630
00004D,20010325,4604
00004D,20010325,4604
00004D,20010325,4604
00004D,20010325,4604
00004D,20010325,4604
00004D,20010325,4604
00004D,20010325,4604
00004D,20010612,4525
00004D,20010612,4525
00004D,20010612,4525
00004D,20010612,4525
00004D,20010612,4525
00004D,20010612,4525
00005A,20010228,4629
00005A,20010228,4629
00005A,20010228,4629
00005A,20010228,4629
00005A,20010228,4629
00005A,20010228,4629
00005B,20010228,4629
00005B,20010228,4629
00005B,20010228,4629
00005B,20010228,4629
00005B,20010228,4629
00005B,20010228,4629
00005C,20010228,4629
00005C,20010228,4629
00005C,20010228,4629
00005C,20010228,4629
00005C,20010228,4629
00005C,20010228,4629
