date,newDate
20010108,20010222
20010110,20010224
20010111,20010225
20010116,20010302
20010119,20010305
20010123,20010309
20010125,20010311
20010128,20010314
20010130,20010316
20010131,20010317
20010201,20010318
20010203,20010320
20010204,20010321
20010205,20010322
20010206,20010323
20010208,20010325
20010209,20010326
20010211,20010328
20010212,20010329
20010213,20010330
20010216,20010402
20010217,20010403
20010220,20010406
20010222,20010408
20010223,20010409
20010224,20010410
20010226,20010412
20010227,20010413
20010228,20010414
20010301,20010415
20010303,20010417
20010305,20010419
20010306,20010420
20010307,20010421
20010308,20010422
20010309,20010423
20010310,20010424
20010311,20010425
20010312,20010426
20010313,20010427
20010314,20010428
20010315,20010429
20010316,20010430
20010317,20010501
20010318,20010502
20010319,20010503
20010320,20010504
20010321,20010505
20010322,20010506
20010323,20010507
20010324,20010508
20010325,20010509
20010326,20010510
20010327,20010511
20010328,20010512
20010329,20010513
20010330,20010514
20010331,20010515
20010401,20010516
20010402,20010517
20010404,20010519
20010405,20010520
20010406,20010521
20010407,20010522
20010408,20010523
20010409,20010524
20010410,20010525
20010411,20010526
20010412,20010527
20010413,20010528
20010414,20010529
20010415,20010530
20010416,20010531
20010417,20010601
20010418,20010602
20010419,20010603
20010420,20010604
20010421,20010605
20010422,20010606
20010423,20010607
20010424,20010608
20010425,20010609
20010426,20010610
20010427,20010611
20010428,20010612
20010430,20010614
20010501,20010615
20010502,20010616
20010503,20010617
20010504,20010618
20010505,20010619
20010506,20010620
20010507,20010621
20010508,20010622
20010509,20010623
20010510,20010624
20010511,20010625
20010512,20010626
20010514,20010628
20010515,20010629
20010516,20010630
20010517,20010701
20010518,20010702
20010519,20010703
20010520,20010704
20010521,20010705
20010522,20010706
20010523,20010707
20010525,20010709
20010526,20010710
20010527,20010711
20010528,20010712
20010529,20010713
20010530,20010714
20010531,20010715
20010601,20010716
20010602,20010717
20010603,20010718
20010604,20010719
20010605,20010720
20010606,20010721
20010607,20010722
20010608,20010723
20010609,20010724
20010610,20010725
20010611,20010726
20010612,20010727
20010613,20010728
20010614,20010729
20010615,20010730
20010616,20010731
20010617,20010801
20010618,20010802
20010619,20010803
20010620,20010804
20010621,20010805
20010622,20010806
20010623,20010807
20010624,20010808
20010625,20010809
20010626,20010810
20010627,20010811
20010628,20010812
20010629,20010813
20010630,20010814
20010701,20010815
20010702,20010816
20010703,20010817
20010704,20010818
20010705,20010819
20010706,20010820
20010707,20010821
20010708,20010822
20010709,20010823
20010710,20010824
20010711,20010825
20010712,20010826
20010713,20010827
20010714,20010828
20010715,20010829
20010716,20010830
20010717,20010831
20010718,20010901
20010719,20010902
20010720,20010903
20010721,20010904
20010722,20010905
20010723,20010906
20010724,20010907
20010725,20010908
20010726,20010909
20010727,20010910
20010728,20010911
20010729,20010912
20010730,20010913
20010731,20010914
20010801,20010915
20010802,20010916
20010803,20010917
20010804,20010918
20010805,20010919
20010806,20010920
20010807,20010921
20010808,20010922
20010809,20010923
20010810,20010924
20010811,20010925
20010812,20010926
20010813,20010927
20010814,20010928
20010815,20010929
20010816,20010930
20010817,20011001
20010818,20011002
20010819,20011003
20010820,20011004
20010821,20011005
20010822,20011006
20010823,20011007
20010824,20011008
20010825,20011009
20010826,20011010
20010827,20011011
20010828,20011012
20010829,20011013
20010830,20011014
20010831,20011015
20010901,20011016
20010902,20011017
20010903,20011018
20010904,20011019
20010905,20011020
20010906,20011021
20010907,20011022
20010908,20011023
20010909,20011024
20010910,20011025
20010911,20011026
20010912,20011027
20010913,20011028
20010914,20011029
20010915,20011030
20010916,20011031
20010917,20011101
20010918,20011102
20010919,20011103
20010920,20011104
20010921,20011105
20010922,20011106
20010923,20011107
20010924,20011108
20010925,20011109
20010926,20011110
20010927,20011111
20010928,20011112
20010930,20011114
20011001,20011115
20011002,20011116
20011003,20011117
20011004,20011118
20011005,20011119
20011006,20011120
20011007,20011121
20011008,20011122
20011009,20011123
20011010,20011124
20011011,20011125
20011012,20011126
20011013,20011127
20011014,20011128
20011015,20011129
20011016,20011130
20011017,20011201
20011018,20011202
20011019,20011203
20011020,20011204
20011021,20011205
20011022,20011206
20011023,20011207
20011024,20011208
20011025,20011209
20011026,20011210
20011027,20011211
20011029,20011213
20011030,20011214
20011031,20011215
20011101,20011216
20011102,20011217
20011103,20011218
20011104,20011219
20011105,20011220
20011106,20011221
20011107,20011222
20011108,20011223
20011109,20011224
20011110,20011225
20011111,20011226
20011112,20011227
20011113,20011228
20011115,20011230
20011116,20011231
20011117,20020101
20011118,20020102
20011119,20020103
20011120,20020104
20011121,20020105
20011122,20020106
20011123,20020107
20011124,20020108
20011125,20020109
20011126,20020110
20011127,20020111
20011128,20020112
20011129,20020113
20011130,20020114
20011201,20020115
20011202,20020116
20011203,20020117
20011204,20020118
20011205,20020119
20011206,20020120
20011207,20020121
20011208,20020122
20011209,20020123
20011210,20020124
20011211,20020125
20011212,20020126
20011213,20020127
20011214,20020128
20011215,20020129
20011216,20020130
20011217,20020131
20011218,20020201
20011219,20020202
20011220,20020203
20011221,20020204
20011222,20020205
20011224,20020207
20011225,20020208
20011226,20020209
20011227,20020210
20011228,20020211
20011229,20020212
20011230,20020213
