brand,numTransactions
000000,4
000202,16
001101,4
001300,72
001301,12
001302,66
001800,36
001902,13
002300,85
002400,9
002501,59
002605,21
003401,8
003805,26
003900,4
004801,38
004803,66
005200,72
005400,2
005401,77
005404,8
006101,54
006201,68
006400,12
006801,69
007605,8
007606,4
007901,33
008001,22
008500,56
009002,9
009301,4
009404,74
009601,12
009902,40
010400,48
010401,40
010402,32
010703,97
010800,87
010905,73
011006,8
011201,48
011502,12
011504,12
011903,8
012000,55
012101,37
012500,16
012600,58
012906,4
012907,59
013404,39
013601,48
013801,62
014000,64
014301,39
014700,53
014701,21
015100,90
015200,14
015302,43
015503,8
015803,41
016402,24
016502,8
017104,103
017405,4
017501,86
017505,13
017803,48
017901,23
018800,102
018900,22
018903,62
019100,40
019104,87
019200,52
019301,75
019404,8
019800,16
020300,30
020700,36
020801,33
021805,1
022000,12
022600,10
022700,74
022704,48
023100,1
023501,37
024400,24
024401,4
025502,34
026304,51
026600,108
026601,13
026800,28
028200,12
028503,12
028702,4
029000,27
029302,45
029500,4
029502,36
029902,16
030002,36
030201,67
030202,48
030302,16
030800,7
031203,22
031501,65
031601,8
031803,8
031904,51
032001,38
032101,21
032700,5
033502,8
033801,45
033802,49
034000,27
034102,62
034403,61
034600,106
035306,52
035804,71
036103,75
036703,25
036900,57
036901,9
037000,68
037101,60
037601,81
038403,6
038605,96
038800,14
039303,36
039401,52
039902,8
040106,4
040501,80
040502,71
040704,89
041201,37
041501,4
041600,48
041802,15
042000,27
042305,93
042703,5
043304,4
043802,86
044204,75
044901,21
045400,8
045602,18
046305,37
046307,61
046500,75
047101,62
047104,59
047200,30
047302,8
047303,24
047700,10
047701,24
048004,8
048203,72
048401,12
048500,68
049400,13
050100,79
050602,90
050800,111
050804,4
051802,60
052201,21
052202,1
052203,51
052300,73
052400,16
053001,8
053304,30
053604,66
054202,77
054400,8
054503,37
054605,20
054700,38
054906,27
055003,57
055004,28
055202,12
055401,23
055600,100
056105,30
056500,47
056608,8
056702,44
056902,62
057004,46
057202,12
057301,21
057800,67
058102,4
058501,65
058602,32
059000,32
059003,57
059107,26
059401,4
059402,13
059601,50
059602,4
059604,12
059700,87
059801,2
060401,49
060502,69
060602,56
061002,16
061203,11
061400,42
061601,73
061701,42
061702,28
062100,58
062101,8
062301,57
064902,8
064905,44
066302,70
067001,10
067402,16
067503,8
067800,47
067801,61
067901,37
067905,39
068603,4
069004,83
069101,4
069401,78
070100,65
070700,69
071200,8
071201,57
071300,97
071401,25
071600,3
071700,56
072501,58
072803,91
072900,48
073502,4
073600,58
074201,16
074400,36
074501,82
074904,36
075000,18
075103,88
075203,16
076001,13
076402,3
076900,68
077300,12
077301,42
077700,28
077900,4
077901,29
077905,16
078001,4
078100,53
078602,12
078801,35
078903,4
079301,20
079600,2
079901,56
080200,9
080203,18
080404,19
080700,56
081103,4
081303,4
082303,28
082400,8
082403,13
082802,9
082803,9
083500,4
083604,4
083607,4
084400,86
084401,50
084604,15
085400,61
085404,17
085602,59
086900,61
087000,23
087101,6
087501,8
087602,53
088701,64
089104,10
089401,49
089803,12
090101,27
090400,31
090702,4
090901,13
091000,24
091504,1
091803,82
092100,4
092101,7
092801,11
092901,68
092903,4
093101,56
093201,2
093400,41
093801,8
093900,27
093902,61
093906,6
094202,4
094901,51
095102,13
095201,15
095603,51
096001,25
096002,21
096704,4
096902,46
097100,55
097600,5
097702,17
097901,4
098300,50
098404,4
099600,16
099702,4
100100,12
100101,8
100104,24
100601,59
100700,80
101201,16
101300,63
101301,9
101501,16
101703,84
102100,80
102101,35
102400,1
103200,79
103300,72
103401,4
103504,8
103804,12
104301,17
105300,37
105301,72
105302,4
105604,39
105702,62
106004,4
106705,48
106801,16
107700,8
108004,59
108300,72
108301,42
109003,40
109202,10
110001,105
110003,18
110702,47
110801,8
111001,44
111304,21
111500,33
111700,89
112400,52
112402,42
112600,14
113302,59
113600,8
113701,51
113902,4
114302,71
114501,62
114502,12
114803,55
114804,60
115101,32
115102,34
115107,1
115400,16
115702,4
115804,25
116001,8
116101,4
117003,26
117200,4
117501,66
117604,12
118800,5
119302,55
119305,55
119503,12
119601,28
119800,75
120200,4
120300,10
120303,12
120700,64
120703,2
121305,1
121503,92
121507,20
121600,66
122101,24
122103,70
122300,40
122600,64
122602,9
122603,17
122901,45
122902,4
123000,42
123804,41
124104,8
124805,51
125804,98
125904,4
126001,33
126101,87
126302,63
127302,28
127401,18
128501,77
128703,69
129003,4
129004,8
129100,73
129301,54
129603,30
129803,57
130103,44
131000,66
131504,57
131803,6
131805,4
131902,42
132200,92
132500,4
132700,32
132702,12
132704,1
132705,59
133400,56
133600,33
133601,64
133901,4
134000,62
134100,81
134702,26
135300,31
135401,4
136102,54
136402,73
136902,42
137605,79
137803,81
137804,12
138005,20
138203,29
138301,65
139300,4
140000,60
140303,8
140401,4
140402,12
140503,77
140900,20
141001,5
141403,8
141405,16
141500,27
141603,8
141703,68
142101,66
142402,14
142700,49
142902,4
143002,20
143106,40
143303,14
143502,28
144003,38
144100,12
144403,74
145402,11
145403,8
146303,59
146600,16
146801,52
147100,28
147200,8
147500,12
147704,59
147800,16
148000,47
148204,40
148302,16
148401,72
148704,63
148900,86
148902,19
