manufacturer,brand,profit
1776,177601,102
0556,055600,86
1487,148704,103
1763,176305,270
1378,137803,336
1315,131504,63
1889,188901,738
1974,197403,81
0550,055003,107
1472,147200,84
1336,133600,67
1021,102100,270
0358,035804,90
0536,053604,87
0679,067905,159
0189,018903,116
0471,047104,104
0175,017501,380
1032,103200,92
0151,015100,99
1310,131000,861
1714,171400,396
1310,131000,615
1898,189803,99
1100,110001,63
1771,177104,83
0578,057800,114
0346,034600,108
1133,113302,106
1487,148704,1110
1310,131000,123
0616,061601,620
0506,050602,284
1033,103300,100
0894,089401,345
1157,115702,114
0728,072803,915
1765,176502,392
0104,010402,55
0370,037000,285
1221,122103,54
1124,112402,555
1674,167405,70
0318,031803,83
0744,074400,110
1444,144403,76
0675,067503,111
1421,142101,117
1137,113701,127
0472,047200,324
1763,176305,210
0394,039401,93
1068,106801,122
0951,095102,101
1736,173603,189
1215,121503,97
1021,102101,51
1310,131000,217
0153,015302,360
1117,111700,534
1908,190802,80
1361,136102,415
1193,119305,68
0358,035804,90
0188,018800,103
1755,175504,83
0140,014000,84
1484,148401,68
0109,010905,126
0126,012600,65
0175,017501,76
1705,170501,93
1523,152302,485
1417,141703,61
1489,148900,122
1369,136902,763
1431,143106,490
0518,051802,114
1376,137605,77
0361,036103,565
0171,017104,67
0315,031501,126
1364,136402,328
1336,133600,67
0295,029502,74
1361,136102,83
1725,172504,135
1894,189400,77
0777,077700,108
0171,017104,67
0143,014301,30
1896,189601,30
0530,053001,240
1013,101300,452
1765,176502,224
1291,129100,81
1772,177201,110
0188,018800,204
1869,186901,540
0729,072900,60
0171,017104,67
1632,163202,134
0605,060502,72
0129,012907,50
0565,056500,67
1725,172506,73
0856,085602,93
0013,001300,150
0393,039303,744
0193,019301,83
1336,133601,85
0777,077700,540
1170,117003,400
0308,030800,133
0266,026600,360
1175,117501,84
1579,157902,582
1193,119305,68
1896,189601,30
1431,143106,98
1812,181200,57
0707,070700,705
1083,108301,62
0302,030201,172
1484,148401,340
0376,037601,77
0617,061702,75
1720,172003,71
0107,010703,87
1223,122300,100
1818,181803,210
0191,019104,64
0713,071300,89
0134,013404,67
0542,054202,150
1175,117501,84
1067,106705,511
0189,018903,116
1158,115804,260
0477,047701,24
1501,150100,62
0939,093902,60
0191,019100,484
0018,001800,76
1895,189503,357
1347,134702,76
1515,151500,540
0120,012000,118
1327,132705,71
0266,026600,72
0623,062301,108
1151,115102,128
0694,069401,71
0227,022700,125
1291,129100,405
1523,152302,97
0367,036703,120
0013,001300,422
1886,188600,119
1489,148900,122
1705,170502,63
0189,018903,696
1409,140900,84
0189,018903,116
0109,010905,63
1296,129603,80
0134,013404,335
0266,026600,360
0121,012101,252
1801,180100,127
1644,164402,108
1175,117501,420
1298,129803,94
0191,019100,121
1991,199103,375
1198,119800,93
1117,111700,89
0678,067800,143
0179,017901,34
1472,147200,84
1705,170501,93
1804,180403,60
0570,057004,111
1747,174700,62
1198,119800,93
0894,089401,115
0175,017501,76
1361,136102,83
1755,175504,83
0085,008500,295
1705,170501,93
0590,059003,123
1431,143106,98
0108,010800,100
0405,040501,87
0617,061702,75
0707,070700,141
0807,080700,37
0052,005200,58
0376,037601,77
0617,061701,43
0147,014700,100
1516,151601,63
0854,085400,74
1854,185406,86
0547,054700,73
0140,014000,84
0338,033801,55
0485,048500,99
0506,050602,745
1943,194300,124
0605,060502,119
0844,084400,86
1527,152705,89
0714,071401,60
1258,125804,500
0052,005200,58
1293,129301,285
0678,067800,858
0263,026304,511
1508,150802,147
0108,010800,100
1248,124805,70
0407,040704,100
0054,005401,505
1632,163202,67
1341,134100,28
1315,131504,84
0151,015100,99
1319,131902,53
1705,170501,93
0048,004803,440
1896,189601,30
0191,019104,64
1772,177202,504
1496,149602,708
1013,101300,113
1378,137803,280
1884,188400,78
0550,055003,107
0717,071700,63
0769,076900,49
1730,173000,74
0570,057004,111
1226,122600,113
0471,047101,756
1772,177201,330
1285,128501,129
0713,071300,89
0302,030201,860
0844,084400,86
1776,177601,102
1568,156801,103
1285,128501,645
1310,131000,1519
1895,189503,119
0585,058501,404
1889,188901,1344
1705,170502,63
0781,078100,68
1380,138005,118
0244,024400,122
1482,148204,61
0386,038605,67
0338,033801,55
0340,034000,112
1203,120300,82
1376,137605,385
1378,137804,435
1417,141703,114
0904,090400,102
0442,044204,119
1714,171400,99
0108,010800,263
0175,017501,380
0617,061702,75
1854,185406,602
1862,186200,101
0939,093902,300
0781,078100,340
1776,177601,102
0338,033802,685
1854,185406,86
1100,110001,63
1903,190301,145
1558,155803,28
0678,067801,88
0977,097702,89
0463,046305,125
0094,009404,348
1893,189300,515
1943,194300,744
1725,172503,96
0567,056702,98
0416,041600,101
1241,124104,50
1100,110001,63
1684,168403,107
0107,010703,87
0824,082400,77
1819,181900,97
1298,129803,470
1510,151003,679
1258,125804,100
0052,005200,58
1839,183902,94
1755,175504,498
0358,035804,450
0019,001902,115
1736,173603,63
0386,038605,67
1463,146303,173
1261,126101,68
1565,156500,118
0438,043802,120
1574,157403,98
1207,120700,92
1812,181200,285
0736,073600,178
0061,006101,474
0728,072803,366
0769,076900,49
0471,047104,104
1717,171700,132
1950,195003,575
1987,198701,290
1893,189300,103
0386,038605,67
0062,006201,83
1336,133601,85
1405,140503,388
1714,171400,198
1463,146303,173
0193,019301,83
1896,189601,30
0188,018800,204
0690,069004,123
0788,078801,328
1763,176305,105
1717,171700,132
1505,150502,107
1361,136102,498
0585,058501,101
0463,046305,25
1327,132705,426
1033,103300,100
0394,039401,558
0138,013801,225
0290,029000,485
1886,188600,119
0477,047701,120
0178,017803,82
1441,144100,90
1057,105702,91
1537,153702,570
1364,136402,82
0321,032101,74
1117,111700,89
1610,161001,72
0949,094901,93
1765,176502,280
1260,126001,710
0898,089803,726
0901,090101,55
1556,155601,352
0623,062301,198
0679,067901,270
1378,137803,56
1505,150502,107
0804,080404,111
1919,191900,610
0358,035804,90
1725,172506,73
0606,060602,64
0781,078100,68
0714,071401,60
0341,034102,560
1325,132500,94
0949,094901,558
