customer,receipt
00245A,1000000
00245A,1000000
00245A,1000000
00228A,1000001
00228A,1000001
00228A,1000001
00228A,1000001
00228A,1000001
00228A,1000001
00228A,1000001
00091A,1000002
00091A,1000002
00091A,1000002
00091A,1000002
00220A,1000003
00220A,1000003
00220A,1000003
00220A,1000003
00220A,1000003
00220A,1000003
00220A,1000003
00220A,1000003
00041A,1000004
00041A,1000004
00041A,1000004
00041A,1000004
00041A,1000004
00041A,1000004
00041A,1000004
00228A,1000007
00228A,1000007
00228A,1000007
00228A,1000007
00228A,1000007
00228A,1000007
00118A,1000006
00118A,1000006
00118A,1000006
00118A,1000006
00118A,1000006
00099A,1000005
00099A,1000005
00099A,1000005
00099A,1000005
00099A,1000005
00099A,1000005
00099A,1000005
00099A,1000005
00099A,1000005
00099A,1000005
00168A,1000008
00168A,1000008
00168A,1000008
00168A,1000008
00168A,1000008
00168A,1000008
00181A,1000009
00181A,1000009
00181A,1000009
00181A,1000009
00181A,1000009
00044A,1000010
00044A,1000010
00044A,1000010
00044A,1000010
00044A,1000010
00041A,1000013
00041A,1000013
00041A,1000013
00041A,1000013
00041A,1000013
00021A,1000012
00021A,1000012
00021A,1000012
00021A,1000012
00021A,1000012
00021A,1000012
00021A,1000012
00021A,1000012
00018A,1000011
00018A,1000011
00018A,1000011
00018A,1000011
00018A,1000011
00018A,1000011
00018A,1000011
00018A,1000011
00018A,1000011
00018A,1000011
00018A,1000011
00217A,1000014
00118A,1000015
00179A,1000016
00261A,1000018
00261A,1000018
00261A,1000018
00261A,1000018
00261A,1000018
00217A,1000017
00217A,1000017
00217A,1000017
00217A,1000017
00217A,1000017
00217A,1000017
00217A,1000017
00217A,1000017
00217A,1000017
00217A,1000017
00217A,1000017
00217A,1000017
00217A,1000017
00217A,1000017
00179A,1000020
00179A,1000020
00084A,1000019
00084A,1000019
00084A,1000019
00084A,1000019
00084A,1000019
00084A,1000019
00091A,1000021
00091A,1000021
00091A,1000021
00091A,1000021
00091A,1000021
00091A,1000021
00091A,1000021
00091A,1000021
00091A,1000021
00082A,1000022
00082A,1000022
00082A,1000022
00082A,1000022
00082A,1000022
00082A,1000022
00082A,1000022
00082A,1000022
00082A,1000022
00082A,1000022
00082A,1000022
00082A,1000022
00082A,1000022
00228A,1000023
00228A,1000023
00228A,1000023
00228A,1000023
00228A,1000023
00181A,1000025
00181A,1000025
00181A,1000025
00144A,1000024
00144A,1000024
00144A,1000024
00144A,1000024
00144A,1000024
00144A,1000024
00227A,1000026
00227A,1000026
00227A,1000026
00227A,1000026
00227A,1000026
00227A,1000026
00227A,1000026
00227A,1000026
