Code4Desc,totalQuantity,totalAmount,Code4Details
1101,3758,1526511,Seasoning
1102,1698,732146,Edible_Oil
1103,1160,500887,Spreads
1104,2019,1024216,Dairy_Product
1105,2847,1611468,Condiements
1106,1100,484361,Soup
1107,1946,911273,Frozen_Food
1108,1157,410367,Canned_Goods
1110,1478,577858,Powder
1111,1768,744427,Homemaking_Material
1112,1450,732630,Noodles
1113,1150,445836,Bread
1114,212,80084,Grain
1115,2194,1106249,Processed_Meats
1116,1144,542858,Fish_Cake
1117,938,489566,Salted_Pickles
1118,1125,435023,Food_in_Water
1119,2791,1262170,Delicatessen
1120,960,411380,Dried_Agricultrual_Produce
1121,2430,1122457,Processed_Seafood
1197,332,173474,Miscellanous_Processed_Food
1201,191,90786,Seafood
1202,62,24718,Meat_Produce
1203,10,4495,Agricultural_Product
1297,160,83802,Miscellanous_Fresh_Produce
1301,3950,1866912,Confectionery
1302,567,306470,Dessert_Yogurt
1303,532,246968,Distinctive_Dry_Foods
1304,591,293284,Ice_Cream
1401,1843,810577,Flavored_Drinks
1402,1321,673276,Juice
1403,3093,1255886,Soft_Drinks
1404,1097,505196,Yogurt_Drinks
1406,3413,1641330,Alcoholic_Drinks
1497,352,145054,Miscellanous_Drinks
