date,quantity,amount
20010110,6,1446
20010110,6,3198
20010111,7,3717
20010119,6,3168
20010119,7,1687
20010125,6,2304
20010130,7,3290
20010203,6,1032
20010204,6,3216
20010205,6,2514
20010208,7,2212
20010212,6,3000
20010222,6,3708
20010222,7,2212
20010223,6,3066
20010224,7,3255
20010224,7,4375
20010226,7,2604
20010227,6,3210
20010227,7,2926
20010227,6,2142
20010228,6,2052
20010303,6,2148
20010303,6,1836
20010305,6,2406
20010306,6,3138
20010306,6,1170
20010306,7,2415
20010306,6,2400
20010307,6,2538
20010307,6,1662
20010308,6,1626
20010310,6,2988
20010310,6,1350
20010310,6,1962
20010312,6,2310
20010312,7,1785
20010313,7,3577
20010313,6,2796
20010313,6,2790
20010313,6,1002
20010313,6,4572
20010316,6,2598
20010318,6,2118
20010319,6,3510
20010320,6,3330
20010321,6,2928
20010322,6,4152
20010323,6,2232
20010324,6,2430
20010325,6,3654
20010326,6,4476
20010326,6,2040
20010327,6,2088
20010327,6,1584
20010330,6,2514
20010331,6,2406
20010331,7,3682
20010331,7,1575
20010331,6,2346
20010331,6,5640
20010401,6,2202
20010404,6,2646
20010405,6,3300
20010405,7,2688
20010406,6,3642
20010406,6,2280
20010409,6,2532
20010410,6,1626
20010412,6,2730
20010412,6,3330
20010412,6,3294
20010413,6,1986
20010413,6,1548
20010414,6,2148
20010414,6,1974
20010415,7,2639
20010415,7,2303
20010415,6,3780
20010415,6,2694
20010415,6,2730
20010415,6,3150
20010416,6,1446
20010417,8,3176
20010417,6,1362
20010417,6,3780
20010417,6,2790
20010418,6,2568
20010418,6,2934
20010418,7,2317
20010418,7,9338
20010420,6,1170
20010420,7,2513
20010421,6,2910
20010423,6,3072
20010423,6,2016
20010425,6,3420
20010425,6,1794
20010425,6,1992
20010426,6,1932
20010428,6,2076
20010501,6,3378
20010501,6,2334
20010502,6,1860
20010503,7,2499
20010504,6,1368
20010505,6,2382
20010505,7,3444
20010505,6,3066
20010505,6,1842
20010506,7,2289
20010506,7,4718
20010506,6,5532
20010506,6,1260
20010507,6,2964
20010507,7,2436
20010507,6,2664
20010508,6,1758
20010508,6,3642
20010508,6,2664
20010509,6,2532
20010509,6,2400
20010509,6,2442
20010509,6,2262
20010509,6,2586
20010510,6,2328
20010510,7,3290
20010512,6,1962
20010512,6,2232
20010514,6,2016
20010514,6,3540
20010515,6,3000
20010516,7,3297
20010516,6,1500
20010517,6,2196
20010517,7,2415
20010518,6,2022
20010519,6,3810
20010519,7,2177
20010520,7,3024
20010520,6,2286
20010520,6,4302
20010521,6,4212
20010521,7,1351
20010521,7,1106
20010521,6,3324
20010523,7,5173
20010523,6,3894
20010523,6,1878
20010525,6,2976
20010529,7,4235
20010529,7,3059
20010530,6,2532
20010530,6,2466
20010530,6,2370
20010530,6,3396
20010602,6,2130
20010603,7,1708
20010603,6,5628
20010604,6,3156
20010604,6,3066
20010604,6,3246
20010605,7,1687
20010606,6,2538
