date,totalQuantity,totalAmount
20010227,25,2929
20010312,18,2928
20010314,1,119
20010315,9,1611
20010318,24,4125
20010321,11,1435
20010407,12,1638
20010415,9,1213
20010418,6,1032
20010422,10,1428
20010423,5,995
20010427,2,386
20010502,9,1548
20010509,6,804
20010515,5,965
20010516,4,681
20010520,27,4188
20010521,15,2405
20010522,4,496
20010525,32,4697
20010526,1,112
20010531,8,1092
20010603,2,370
20010616,10,1374
20010618,2,386
20010619,4,660
20010622,7,1121
20010629,8,1416
20010701,3,520
20010707,1,146
20010710,3,545
20010714,15,1865
20010715,12,2090
20010716,27,4583
20010718,12,1555
20010720,16,2333
20010721,2,386
20010731,9,1211
20010804,8,1376
20010816,3,520
20010819,1,197
20010824,2,256
20010903,2,242
20010904,7,1076
20010907,11,1937
20010909,15,2299
20010913,5,935
20010920,10,1705
20010922,3,597
20010923,3,515
20011003,8,1426
20011010,27,5012
20011013,3,408
20011015,3,546
20011016,8,952
20011021,13,2587
20011025,3,585
20011027,17,2929
20011031,7,853
20011108,20,2890
20011109,12,1762
20011113,19,2975
20011115,6,1088
20011117,6,631
20011120,4,506
20011126,15,2113
20011129,8,1160
20011201,3,408
20011202,9,1540
20011207,4,665
20011216,3,408
20011220,2,367
20011221,4,404
20011222,23,3575
20011228,2,364
