date,totalQuantity,totalAmount
20010201,8,1024
20010131,14,1806
20010203,13,2236
20010901,9,4532
20011102,8,4845
20010311,19,4879
20011006,11,5632
20010503,18,6966
20010316,18,7794
20010108,21,8680
20011217,19,8687
20010220,30,9774
20011204,26,10297
20010617,30,11751
20011107,25,11779
20010610,26,12181
20010708,32,13691
20010408,40,14128
20010526,34,14367
20010125,43,14516
20010705,32,15307
20010128,43,15448
20010319,41,15941
20010411,43,16549
20010605,46,16951
20010510,42,17702
20010303,53,19161
20010825,43,19351
20010123,54,19476
20010512,53,19766
20010630,37,20064
20010305,62,20969
20010217,64,21223
20011123,37,21270
20010209,50,21776
20010623,52,22818
20010401,51,23062
20011209,47,23439
20010110,67,23495
20010211,58,23650
20010307,67,23885
20010325,60,24099
20010205,62,24132
20010831,37,24348
20010602,63,24849
20010208,78,24906
20010213,65,24974
20010527,59,25495
20010422,69,26691
20010426,68,26752
20010529,68,26839
20010328,66,27070
20010902,54,27708
20011108,76,27801
20010116,65,28333
20010709,68,28766
20010416,89,28947
20010611,68,29051
20011101,60,29588
20010206,82,29950
20011127,60,30391
20011014,56,31062
20010317,87,31469
20011210,55,31919
20010410,95,32202
20010414,82,32226
20010624,60,32270
20010428,71,32336
20011214,71,32422
20011212,80,32682
20010222,78,32783
20010402,87,34346
20011226,73,34360
20010815,66,34597
20011017,75,34677
20010519,94,34834
20011106,64,35305
20010212,82,35368
20010908,74,35433
20010419,71,35439
20011125,71,36025
20011007,62,36025
20010525,101,36167
20010703,87,36373
20010928,76,36645
20010424,111,36941
20010329,89,37226
20011122,80,37386
20010804,97,37610
20011012,67,38099
20010111,94,38261
20010704,79,38793
20010808,118,38880
20010412,87,39103
20010318,131,39667
20010330,88,39745
20010807,84,39866
20011206,70,39913
20011030,80,40274
20010226,107,40550
20010301,108,40948
20010528,100,41660
20010314,99,41926
20011013,88,42142
20010722,98,43767
20010608,90,44094
20011203,99,45827
20010223,118,45828
20011119,78,45836
20010626,108,46325
20010326,121,46452
20010913,97,46468
20010614,124,47341
20011121,93,47907
20011026,91,49018
20011023,104,49089
20010322,129,49198
20010323,113,50199
20010717,116,50949
20010324,128,51005
20010409,134,51564
20011116,97,51917
20011018,92,52476
20010204,132,52936
20010728,123,52939
20010823,98,52956
20010516,135,53174
20010413,140,55397
20011031,122,55639
20010517,139,55891
20010721,115,56570
20010625,123,57455
20011118,93,57550
20010320,134,57621
20011120,142,57925
20010511,109,58170
20010420,142,58326
20011230,93,58331
20010228,137,58384
20010621,134,58395
20010726,142,59529
20010613,136,60240
20010130,157,60577
20011227,112,61542
20010809,122,61786
20011109,130,62228
20010816,146,62546
20011022,136,63410
20010909,137,63412
20011004,126,63770
20011113,133,64026
20010718,145,64261
20010725,143,64482
20010712,146,64775
20010821,158,64985
20010312,191,65168
20010806,144,65478
20010716,159,66174
20010810,146,66176
20010905,127,66268
20010615,136,67174
20010819,156,67516
20010407,159,67568
20011213,124,67817
20010628,157,68100
20011011,137,68105
20010924,136,68874
20010331,178,69010
20010522,173,69154
20010915,144,69853
20011002,128,70102
20010702,169,70516
20011222,121,71352
20010930,133,71379
20010421,162,71943
20010916,127,72928
20011201,117,73060
20010731,151,73395
20010404,191,73527
20011215,160,74503
20010805,150,74804
20010906,187,75294
20010910,171,75764
20011124,133,75828
20011029,118,76096
20011216,154,76426
20010607,176,76574
20010724,177,77504
20011220,153,77793
20010321,190,78371
