shop,date,time,receipt,customer,product,CategoryCode1,CategoryCode2,CategoryCode4,CategoryCode6,manufacturer,brand,unitCost,unitPrice,quantity,amount,costAmount,profit,YearMonth
C,20010601,133515,1000267,00225C,0000493,1,11,1113,111305,1755,175504,274,357,1,357,274,83,20016
D,20010601,150648,1000280,00010D,0000348,1,11,1115,111505,0929,092901,331,902,1,902,331,571,20016
A,20010601,133515,1000298,00225A,0000419,1,11,1112,111211,0736,073600,296,451,1,451,296,155,20016
B,20010601,133515,1000323,00225B,0000419,1,11,1112,111211,0736,073600,296,385,5,1925,1480,445,20016
C,20010601,133515,1000267,00225C,0000419,1,11,1112,111211,0736,073600,296,488,1,488,296,192,20016
D,20010601,133515,1000282,00225D,0000493,1,11,1113,111305,1755,175504,274,357,1,357,274,83,20016
A,20010601,133515,1000298,00225A,0000505,1,11,1108,110803,0085,008500,194,357,1,357,194,163,20016
B,20010601,133515,1000323,00225B,0000505,1,11,1108,110803,0085,008500,194,315,1,315,194,121,20016
C,20010601,150648,1000265,00010C,0000348,1,11,1115,111505,0929,092901,331,617,1,617,331,286,20016
D,20010601,133515,1000282,00225D,0000419,1,11,1112,111211,0736,073600,296,385,1,385,296,89,20016
A,20010601,133515,1000298,00225A,0000493,1,11,1113,111305,1755,175504,274,512,1,512,274,238,20016
B,20010601,133515,1000323,00225B,0000493,1,11,1113,111305,1755,175504,274,531,1,531,274,257,20016
C,20010601,150648,1000265,00010C,0000392,1,14,1401,140107,1376,137605,254,331,1,331,254,77,20016
D,20010601,133515,1000282,00225D,0000505,1,11,1108,110803,0085,008500,194,253,1,253,194,59,20016
A,20010601,150648,1000296,00010A,0000392,1,14,1401,140107,1376,137605,254,331,1,331,254,77,20016
B,20010601,150648,1000321,00010B,0000348,1,11,1115,111505,0929,092901,331,431,1,431,331,100,20016
C,20010601,150648,1000265,00010C,0000465,1,14,1402,140205,0918,091803,506,658,1,658,506,152,20016
D,20010601,150648,1000280,00010D,0000392,1,14,1401,140107,1376,137605,254,331,1,331,254,77,20016
A,20010601,150648,1000296,00010A,0000465,1,14,1402,140205,0918,091803,506,794,1,794,506,288,20016
B,20010601,150648,1000321,00010B,0000392,1,14,1401,140107,1376,137605,254,488,1,488,254,234,20016
C,20010601,150648,1000265,00010C,0000441,1,11,1110,111007,0713,071300,296,414,1,414,296,118,20016
D,20010601,161933,1000281,00066D,0000691,1,14,1404,140403,0129,012906,172,224,5,1120,860,260,20016
A,20010601,150648,1000296,00010A,0000348,1,11,1115,111505,0929,092901,331,543,1,543,331,212,20016
B,20010601,150648,1000321,00010B,0000441,1,11,1110,111007,0713,071300,296,385,1,385,296,89,20016
C,20010601,155344,1000268,00231C,0000633,1,11,1121,112105,0742,074201,145,189,1,189,145,44,20016
D,20010601,150648,1000280,00010D,0000441,1,11,1110,111007,0713,071300,296,869,5,4345,1480,2865,20016
A,20010601,150648,1000296,00010A,0000441,1,11,1110,111007,0713,071300,296,482,1,482,296,186,20016
B,20010601,150648,1000321,00010B,0000465,1,14,1402,140205,0918,091803,506,658,1,658,506,152,20016
C,20010601,155344,1000268,00231C,0000204,1,14,1403,140325,1196,119601,344,448,1,448,344,104,20016
D,20010601,161933,1000281,00066D,0000284,1,13,1301,130133,1056,105604,132,172,1,172,132,40,20016
A,20010601,155344,1000299,00231A,0000204,1,14,1403,140325,1196,119601,344,448,1,448,344,104,20016
B,20010601,155344,1000324,00231B,0000633,1,11,1121,112105,0742,074201,145,189,1,189,145,44,20016
C,20010601,155344,1000268,00231C,0000432,1,11,1105,110509,1258,125804,331,431,1,431,331,100,20016
D,20010601,150648,1000280,00010D,0000465,1,14,1402,140205,0918,091803,506,658,1,658,506,152,20016
A,20010601,155344,1000299,00231A,0000517,1,11,1197,119705,1151,115102,424,660,1,660,424,236,20016
B,20010601,155344,1000324,00231B,0000345,1,11,1121,112105,0188,018800,343,446,6,2676,2058,618,20016
C,20010601,133515,1000267,00225C,0000505,1,11,1108,110803,0085,008500,194,296,1,296,194,102,20016
D,20010601,155344,1000283,00231D,0000345,1,11,1121,112105,0188,018800,343,446,6,2676,2058,618,20016
A,20010601,155344,1000299,00231A,0000304,1,11,1107,110707,1487,148704,343,1334,4,5336,1372,3964,20016
B,20010601,155344,1000324,00231B,0000511,1,11,1110,111097,1883,188302,311,405,1,405,311,94,20016
C,20010601,155344,1000268,00231C,0000517,1,11,1197,119705,1151,115102,424,552,1,552,424,128,20016
D,20010601,155344,1000283,00231D,0000502,1,11,1107,110703,0725,072501,110,143,4,572,440,132,20016
A,20010601,155344,1000299,00231A,0000427,1,11,1105,110503,1032,103200,305,472,1,472,305,167,20016
B,20010601,155344,1000324,00231B,0000204,1,14,1403,140325,1196,119601,344,448,1,448,344,104,20016
C,20010601,161933,1000266,00066C,0000547,1,14,1404,140497,0338,033801,183,255,1,255,183,72,20016
D,20010601,155344,1000283,00231D,0000204,1,14,1403,140325,1196,119601,344,448,6,2688,2064,624,20016
A,20010601,155344,1000299,00231A,0000345,1,11,1121,112105,0188,018800,343,938,1,938,343,595,20016
B,20010601,155344,1000324,00231B,0000427,1,11,1105,110503,1032,103200,305,535,1,535,305,230,20016
C,20010601,155344,1000268,00231C,0000502,1,11,1107,110703,0725,072501,110,168,5,840,550,290,20016
D,20010601,155344,1000283,00231D,0000517,1,11,1197,119705,1151,115102,424,655,1,655,424,231,20016
A,20010601,155344,1000299,00231A,0000432,1,11,1105,110509,1258,125804,331,431,5,2155,1655,500,20016
B,20010601,155344,1000324,00231B,0000304,1,11,1107,110707,1487,148704,343,446,6,2676,2058,618,20016
C,20010601,155344,1000268,00231C,0000304,1,11,1107,110707,1487,148704,343,446,5,2230,1715,515,20016
D,20010601,155344,1000283,00231D,0000326,1,11,1106,110601,1340,134000,416,541,5,2705,2080,625,20016
A,20010601,155344,1000299,00231A,0000326,1,11,1106,110601,1340,134000,416,541,1,541,416,125,20016
