CategoryCode4,Category4
1101,Seasoning
1102,Edible_Oil
1103,Spreads
1104,Dairy_Product
1105,Condiements
1106,Soup
1107,Frozen_Food
1108,Canned_Goods
1110,Powder
1111,Homemaking_Material
1112,Noodles
1113,Bread
1114,Grain
1115,Processed_Meats
1116,Fish_Cake
1117,Salted_Pickles
1118,Food_in_Water
1119,Delicatessen
1120,Dried_Agricultrual_Produce
1121,Processed_Seafood
1197,Miscellanous_Processed_Food
1201,Seafood
1202,Meat_Produce
1203,Agricultural_Product
1297,Miscellanous_Fresh_Produce
1301,Confectionery
1302,Dessert_Yogurt
1303,Distinctive_Dry_Foods
1304,Ice_Cream
1397,Other_Confectionery
1401,Flavored_Drinks
1402,Juice
1403,Soft_Drinks
1404,Yogurt_Drinks
1406,Alcoholic_Drinks
1407,Merchandise_With_Alcohol
1497,Miscellanous_Drinks
1901,Baby_Food
1902,Health_Food
1903,Gift_Food
1997,Miscellanous_Food
1999,Unknown_Food
2101,Oral_Hygienic_Supplies
2102,Soaps
2103,Toilet_Paper_Supplies
2104,Medical_Supplies_Equipment
2105,Childcare_Supplies
2106,Clothing_Detergents
2107,House_Cleaning_Detergents
2108,Kitchen_Tableware_Detergents
2109,Home_Envirnoment_Agents
2110,Home_Cleaner_Wax
2111,Insecticide
2197,Miscellanous_Household_Products
2199,Unknown_Household_Products
2201,Vitamins
2202,Painkillers
2203,Digestion_Medicine
2204,Skin_Medicine
2205,Chinese_Medicine
2297,Miscellanous_Medicine
2299,Unknown_Medicine
2301,Fundamental_Cosmetics
2302,Makeup_Cosmetics
2303,Fragrance
2304,Hair_Care
2305,Men_Cosmetics
2306,Small_Makeup_Articles
2397,Other_Cosmetics
2399,Unknown_Cosmetics
2401,Food_Packaging
2402,Cleaning_Supplies
2403,Laundry_Dryer_Supplies
2404,Kitchen_Supplies
2405,Bathroom_Supplies
2406,Dining_Table_Supplies
2407,Cooking_Supplies
2408,Living_Supplies
2497,Other_Household_Supplies
2499,Unknown_Household_Supplies
2501,Construction_Paint_Equipment
2502,Construction_Paint_Supplies
2503,Gas_Plumbing_Parts
2504,Gardening_Tools
2597,Miscellanous_DIY_Supplies
2599,Unknown_DIY_Supplies
2601,Pet_House
2602,Pet_Medicine
2603,Pet_Equipment
2697,Miscellanous_Pet_Products
2699,Unknown_Pet_Products
2901,Daily_Gift
2903,Film
2904,Audio_Stereo
2997,Miscellanous_Daily_Necessaries
2999,Unknown_Daily_Necessaries
3101,Information_Organizing_Supplies
3102,File_Binder
3103,Office_Supplies
3104,Writing_Equipment
3105,Paper_Products
3106,Daily_Paper_Products
3107,Education_Related_Supplies
3108,Electronic_Stationary
