shop,date,time,receipt,customer,product,CategoryCode1,CategoryCode2,CategoryCode4,CategoryCode6,manufacturer,brand,unitCost,unitPrice,quantity,amount,costAmount,profit
A,20010108,142748,1000000,00245A,0000311,1,11,1116,111603,1776,177601,339,441,1,441,339,102
A,20010108,142748,1000000,00245A,0000384,1,14,1402,140205,0556,055600,286,372,1,372,286,86
A,20010108,142748,1000000,00245A,0000304,1,11,1107,110707,1487,148704,343,446,1,446,343,103
A,20010110,121010,1000001,00228A,0000426,1,11,1106,110601,1763,176305,177,231,5,1155,885,270
A,20010110,121010,1000001,00228A,0000313,1,11,1119,111997,1378,137803,185,241,6,1446,1110,336
A,20010110,121010,1000001,00228A,0000486,1,11,1108,110801,1315,131504,208,271,1,271,208,63
A,20010110,121010,1000001,00228A,0000393,1,11,1105,110517,1889,188901,410,533,6,3198,2460,738
A,20010110,121010,1000001,00228A,0000472,1,14,1402,140205,1974,197403,267,348,1,348,267,81
A,20010110,121010,1000001,00228A,0000332,1,11,1107,110721,0550,055003,354,461,1,461,354,107
A,20010110,121010,1000001,00228A,0000136,1,14,1404,140497,1472,147200,279,363,1,363,279,84
A,20010111,143007,1000002,00091A,0000603,1,14,1404,140403,1336,133600,223,290,1,290,223,67
A,20010111,143007,1000002,00091A,0000337,1,11,1101,110105,1021,102100,179,233,5,1165,895,270
A,20010111,143007,1000002,00091A,0000504,1,11,1121,112113,0358,035804,297,387,1,387,297,90
A,20010111,143007,1000002,00091A,0000306,1,13,1301,130135,0536,053604,288,375,1,375,288,87
A,20010111,153018,1000003,00220A,0000618,1,11,1105,110501,0679,067905,528,687,1,687,528,159
A,20010111,153018,1000003,00220A,0000343,1,11,1104,110407,0189,018903,384,500,1,500,384,116
A,20010111,153018,1000003,00220A,0000508,1,11,1117,111701,0471,047104,344,448,1,448,344,104
A,20010111,153018,1000003,00220A,0000280,1,14,1403,140316,0175,017501,253,329,5,1645,1265,380
A,20010111,153018,1000003,00220A,0000427,1,11,1105,110503,1032,103200,305,397,1,397,305,92
A,20010111,153018,1000003,00220A,0000374,1,11,1117,111701,0151,015100,329,428,1,428,329,99
A,20010111,153018,1000003,00220A,0000405,1,13,1301,130123,1310,131000,408,531,7,3717,2856,861
A,20010111,153018,1000003,00220A,0000323,1,14,1406,140697,1714,171400,327,426,4,1704,1308,396
A,20010116,171401,1000004,00041A,0000405,1,13,1301,130123,1310,131000,408,531,5,2655,2040,615
A,20010116,171401,1000004,00041A,0000062,1,11,1113,111397,1898,189803,328,427,1,427,328,99
A,20010116,171401,1000004,00041A,0000438,1,14,1403,140309,1100,110001,208,271,1,271,208,63
A,20010116,171401,1000004,00041A,0000261,1,11,1111,111113,1771,177104,274,357,1,357,274,83
A,20010116,171401,1000004,00041A,0000491,1,13,1304,130497,0578,057800,377,491,1,491,377,114
A,20010116,171401,1000004,00041A,0000376,1,11,1119,111905,0346,034600,359,467,1,467,359,108
A,20010116,171401,1000004,00041A,0000512,1,11,1118,111807,1133,113302,352,458,1,458,352,106
A,20010119,111636,1000007,00228A,0000304,1,11,1107,110707,1487,148704,343,528,6,3168,2058,1110
A,20010119,111636,1000007,00228A,0000405,1,13,1301,130123,1310,131000,408,531,1,531,408,123
A,20010119,111636,1000007,00228A,0000421,1,11,1105,110597,0616,061601,412,536,5,2680,2060,620
A,20010119,111636,1000007,00228A,0000452,1,11,1108,110802,0506,050602,235,306,4,1224,940,284
A,20010119,111636,1000007,00228A,0000409,1,13,1301,130125,1033,103300,333,433,1,433,333,100
A,20010119,111636,1000007,00228A,0000461,1,14,1406,140671,0894,089401,381,496,3,1488,1143,345
A,20010119,142920,1000006,00118A,0000108,1,13,1301,130137,1157,115702,378,492,1,492,378,114
A,20010119,142920,1000006,00118A,0000404,1,11,1115,111597,0728,072803,609,792,5,3960,3045,915
A,20010119,142920,1000006,00118A,0000305,1,11,1101,110129,1765,176502,185,241,7,1687,1295,392
A,20010119,142920,1000006,00118A,0000223,1,13,1301,130131,0104,010402,183,238,1,238,183,55
A,20010119,142920,1000006,00118A,0000344,1,11,1104,110411,0370,037000,189,246,5,1230,945,285
A,20010119,182143,1000005,00099A,0000484,1,11,1105,110509,1221,122103,180,234,1,234,180,54
A,20010119,182143,1000005,00099A,0000254,1,11,1115,111597,1124,112402,370,481,5,2405,1850,555
A,20010119,182143,1000005,00099A,0000462,1,14,1406,140681,1674,167405,231,301,1,301,231,70
A,20010119,182143,1000005,00099A,0000161,1,14,1403,140315,0318,031803,276,359,1,359,276,83
A,20010119,182143,1000005,00099A,0000567,1,11,1104,110403,0744,074400,364,474,1,474,364,110
A,20010119,182143,1000005,00099A,0000400,1,11,1112,111209,1444,144403,252,328,1,328,252,76
A,20010119,182143,1000005,00099A,0000669,1,14,1404,140497,0675,067503,368,479,1,479,368,111
A,20010119,182143,1000005,00099A,0000325,1,14,1406,140663,1421,142101,388,505,1,505,388,117
A,20010119,182143,1000005,00099A,0000221,1,13,1303,130303,1137,113701,422,549,1,549,422,127
A,20010119,182143,1000005,00099A,0000274,1,11,1121,112107,0472,047200,359,467,3,1401,1077,324
A,20010123,113648,1000008,00168A,0000426,1,11,1106,110601,1763,176305,177,282,2,564,354,210
