shop,date,time,receipt,customer,product,CategoryCode1,CategoryCode2,CategoryCode4,CategoryCode6,manufacturer,brand,unitCost,unitPrice,quantity,amount,costAmount,profit
C,20010108,142748,1000000,00245C,0000311,1,11,1116,111603,1776,177601,339,441,1,441,339,102
C,20010108,142748,1000000,00245C,0000384,1,14,1402,140205,0556,055600,286,372,1,372,286,86
C,20010108,142748,1000000,00245C,0000304,1,11,1107,110707,1487,148704,343,446,5,2230,1715,515
C,20010110,121010,1000001,00228C,0000472,1,14,1402,140205,1974,197403,267,348,1,348,267,81
C,20010110,121010,1000001,00228C,0000313,1,11,1119,111997,1378,137803,185,241,1,241,185,56
C,20010110,121010,1000001,00228C,0000393,1,11,1105,110517,1889,188901,410,533,1,533,410,123
C,20010110,121010,1000001,00228C,0000332,1,11,1107,110721,0550,055003,354,461,4,1844,1416,428
C,20010110,121010,1000001,00228C,0000426,1,11,1106,110601,1763,176305,177,231,3,693,531,162
C,20010110,121010,1000001,00228C,0000136,1,14,1404,140497,1472,147200,279,363,1,363,279,84
C,20010110,121010,1000001,00228C,0000486,1,11,1108,110801,1315,131504,208,271,1,271,208,63
C,20010111,143007,1000002,00091C,0000337,1,11,1101,110105,1021,102100,179,233,6,1398,1074,324
C,20010111,143007,1000002,00091C,0000603,1,14,1404,140403,1336,133600,223,290,1,290,223,67
C,20010111,143007,1000002,00091C,0000306,1,13,1301,130135,0536,053604,288,375,1,375,288,87
C,20010111,143007,1000002,00091C,0000504,1,11,1121,112113,0358,035804,297,387,1,387,297,90
C,20010111,153018,1000003,00220C,0000280,1,14,1403,140316,0175,017501,253,329,6,1974,1518,456
C,20010111,153018,1000003,00220C,0000618,1,11,1105,110501,0679,067905,528,687,1,687,528,159
C,20010111,153018,1000003,00220C,0000343,1,11,1104,110407,0189,018903,384,500,1,500,384,116
C,20010111,153018,1000003,00220C,0000405,1,13,1301,130123,1310,131000,408,531,1,531,408,123
C,20010111,153018,1000003,00220C,0000323,1,14,1406,140697,1714,171400,327,426,5,2130,1635,495
C,20010111,153018,1000003,00220C,0000427,1,11,1105,110503,1032,103200,305,397,1,397,305,92
C,20010111,153018,1000003,00220C,0000508,1,11,1117,111701,0471,047104,344,448,1,448,344,104
C,20010111,153018,1000003,00220C,0000374,1,11,1117,111701,0151,015100,329,428,1,428,329,99
C,20010116,171401,1000004,00041C,0000062,1,11,1113,111397,1898,189803,328,427,1,427,328,99
C,20010116,171401,1000004,00041C,0000491,1,13,1304,130497,0578,057800,377,491,7,3437,2639,798
C,20010116,171401,1000004,00041C,0000261,1,11,1111,111113,1771,177104,274,357,1,357,274,83
C,20010116,171401,1000004,00041C,0000438,1,14,1403,140309,1100,110001,208,271,2,542,416,126
C,20010116,171401,1000004,00041C,0000405,1,13,1301,130123,1310,131000,408,531,1,531,408,123
C,20010116,171401,1000004,00041C,0000376,1,11,1119,111905,0346,034600,359,467,5,2335,1795,540
C,20010116,171401,1000004,00041C,0000512,1,11,1118,111807,1133,113302,352,458,6,2748,2112,636
C,20010119,111636,1000007,00228C,0000304,1,11,1107,110707,1487,148704,343,446,1,446,343,103
C,20010119,111636,1000007,00228C,0000409,1,13,1301,130125,1033,103300,333,433,1,433,333,100
C,20010119,111636,1000007,00228C,0000452,1,11,1108,110802,0506,050602,235,306,1,306,235,71
C,20010119,111636,1000007,00228C,0000405,1,13,1301,130123,1310,131000,408,531,5,2655,2040,615
C,20010119,111636,1000007,00228C,0000421,1,11,1105,110597,0616,061601,412,536,1,536,412,124
C,20010119,111636,1000007,00228C,0000461,1,14,1406,140671,0894,089401,381,496,1,496,381,115
C,20010119,142920,1000006,00118C,0000305,1,11,1101,110129,1765,176502,185,241,1,241,185,56
C,20010119,142920,1000006,00118C,0000404,1,11,1115,111597,0728,072803,609,792,3,2376,1827,549
C,20010119,142920,1000006,00118C,0000344,1,11,1104,110411,0370,037000,189,246,1,246,189,57
C,20010119,142920,1000006,00118C,0000223,1,13,1301,130131,0104,010402,183,238,6,1428,1098,330
C,20010119,142920,1000006,00118C,0000108,1,13,1301,130137,1157,115702,378,492,1,492,378,114
C,20010119,182143,1000005,00099C,0000669,1,14,1404,140497,0675,067503,368,479,4,1916,1472,444
C,20010119,182143,1000005,00099C,0000484,1,11,1105,110509,1221,122103,180,234,1,234,180,54
C,20010119,182143,1000005,00099C,0000161,1,14,1403,140315,0318,031803,276,359,1,359,276,83
C,20010119,182143,1000005,00099C,0000567,1,11,1104,110403,0744,074400,364,474,1,474,364,110
C,20010119,182143,1000005,00099C,0000221,1,13,1303,130303,1137,113701,422,549,5,2745,2110,635
C,20010119,182143,1000005,00099C,0000462,1,14,1406,140681,1674,167405,231,301,1,301,231,70
C,20010119,182143,1000005,00099C,0000274,1,11,1121,112107,0472,047200,359,467,1,467,359,108
C,20010119,182143,1000005,00099C,0000400,1,11,1112,111209,1444,144403,252,328,1,328,252,76
C,20010119,182143,1000005,00099C,0000254,1,11,1115,111597,1124,112402,370,481,1,481,370,111
