日付,数量平均,金額平均
20010108,1.75,723.3333333
20010110,2.392857143,839.1071429
20010111,1.958333333,797.1041667
20010116,2.321428571,1011.892857
20010119,2.5,1114.119048
20010123,2.25,811.5
20010125,2.15,725.8
20010128,2.15,772.4
20010130,1.635416667,631.0104167
20010131,3.5,451.5
20010201,2,256
20010203,3.25,559
20010204,1.85915493,745.5774648
20010205,1.9375,754.125
20010206,2.277777778,831.9444444
20010208,1.5,478.9615385
20010209,2.5,1088.8
20010211,1.611111111,656.9444444
20010212,2.277777778,982.4444444
20010213,1.805555556,693.7222222
20010216,2.008196721,736.0655738
20010217,1.777777778,589.5277778
20010220,2.5,814.5
20010222,2.4375,1024.46875
20010223,1.966666667,763.8
20010224,1.97826087,898.75
20010226,2.14,811
20010227,2.25,863.7142857
20010228,2.014705882,858.5882353
20010301,1.8,682.4666667
20010303,2.208333333,798.375
20010305,2.583333333,873.7083333
20010306,2.121428571,838.1142857
20010307,2.392857143,853.0357143
20010308,2.038834951,788.5728155
20010309,2.4,990.8842105
20010310,2.295454545,922.875
20010311,2.375,609.875
20010312,2.076086957,708.3478261
20010313,2.055555556,924.5888889
20010314,1.706896552,722.862069
20010315,1.822580645,803.4274194
20010316,4.5,1948.5
20010317,1.977272727,715.2045455
20010318,2.183333333,661.1166667
20010319,2.5625,996.3125
20010320,1.887323944,811.5633803
20010321,1.93877551,799.7040816
20010322,1.592592593,607.382716
20010323,2.173076923,965.3653846
20010324,2.285714286,910.8035714
20010325,1.5,602.475
20010326,2.016666667,774.2
20010327,2.142857143,880.9642857
20010328,2.0625,845.9375
20010329,2.225,930.65
20010330,2.095238095,946.3095238
20010331,2.311688312,896.2337662
20010401,1.821428571,823.6428571
20010402,1.8125,715.5416667
20010404,2.170454545,835.5340909
20010405,2.316666667,987.575
20010406,1.885714286,801.8
20010407,2.178082192,925.5890411
20010408,1.666666667,588.6666667
20010409,2.233333333,859.4
20010410,1.979166667,670.875
20010411,1.791666667,689.5416667
20010412,2.416666667,1086.194444
20010413,2.1875,865.578125
20010414,1.863636364,732.4090909
20010415,2.225,937.0333333
20010416,1.78,578.94
20010417,2.456521739,907.2065217
20010418,1.921875,761.484375
20010419,1.918918919,957.8108108
20010420,2.088235294,857.7352941
20010421,2.382352941,1057.985294
20010422,1.971428571,762.6
20010423,1.8875,659.125
20010424,1.982142857,659.6607143
20010425,2.26,840.35
20010426,2.428571429,955.4285714
20010427,2.041666667,879.6145833
20010428,2.535714286,1154.857143
20010430,1.75,756.275
20010501,1.96875,856.375
20010502,1.890410959,700.5821918
20010503,2.25,870.75
20010504,2.226190476,973.1071429
20010505,2.040322581,837.2580645
20010506,2.182692308,907.9326923
20010507,2.009615385,899.375
20010508,2.139534884,945.3139535
20010509,2.276923077,869.9923077
20010510,3,1264.428571
20010511,2.224489796,1187.142857
20010512,1.892857143,705.9285714
20010514,1.77027027,744.0608108
20010515,2.120300752,916.6541353
20010516,1.985294118,781.9705882
20010517,2.171875,873.296875
20010518,2.186915888,820.9813084
20010519,2.136363636,791.6818182
20010520,1.826086957,759.173913
20010521,2.012987013,821.1623377
20010522,2.05952381,823.2619048
20010523,2.275,1008.2375
20010525,2.295454545,821.9772727
20010526,1.36,574.68
20010527,1.966666667,849.8333333
20010528,2.272727273,946.8181818
20010529,1.581395349,624.1627907
20010530,2.177083333,947.4479167
20010531,1.712121212,713.6515152
20010601,2.097826087,886.6086957
20010602,1.96875,776.53125
20010603,2.198113208,1002.226415
20010604,2.024193548,941.4516129
20010605,1.642857143,605.3928571
20010606,1.982142857,883.5
20010607,2,870.1590909
20010608,2.045454545,1002.136364
20010609,2.152173913,937.9782609
20010610,2.166666667,1015.083333
20010611,2.125,907.84375
20010612,1.881944444,834.6388889
20010613,2.266666667,1004
20010614,2.066666667,789.0166667
20010615,2,987.8529412
20010616,1.79389313,712.1068702
20010617,1.875,734.4375
20010618,1.949238579,807.2690355
20010619,2.276923077,903.7769231
20010620,1.904347826,983.4695652
20010621,1.861111111,811.0416667
20010622,2.186440678,898.3220339
20010623,2.166666667,950.75
20010624,2.5,1344.583333
20010625,2.157894737,1007.982456
20010626,2.117647059,908.3333333
20010627,2.12037037,1211.972222
20010628,2.242857143,972.8571429
20010629,2.134831461,1082.213483
20010630,3.083333333,1672
20010701,2.151162791,996.2906977
20010702,1.742268041,726.9690722
20010703,2.289473684,957.1842105
20010704,1.795454545,881.6590909
20010705,1.882352941,900.4117647
20010706,2.12,1012.07
20010707,2.181818182,972.7545455
20010708,2.285714286,977.9285714
20010709,2.125,898.9375
20010710,1.861111111,857.5416667
20010711,2.113475177,868.6382979
20010712,1.972972973,875.3378378
20010713,1.913461538,953.3942308
20010714,2.313186813,1014.521978
20010715,2.230769231,1079.019231
20010716,1.892857143,787.7857143
20010717,1.757575758,771.9545455
20010718,2.265625,1004.078125
20010719,2.163043478,969.1630435
20010720,1.97382199,927.3926702
20010721,1.796875,883.90625
20010722,2.45,1094.175
20010723,2.113861386,980.1633663
20010724,2.492957746,1091.605634
20010725,1.7875,806.025
20010726,2.119402985,888.4925373
20010727,2.067073171,980.9085366
20010728,2.196428571,945.3392857
20010729,2.226190476,1090.904762
20010730,2.402061856,1099.814433
20010731,1.8875,917.4375
20010801,2.053892216,909.8622754
20010802,2.363636364,1211.397727
20010803,1.994219653,907.1040462
20010804,2.020833333,783.5416667
20010805,2.173913043,1084.115942
20010806,2.057142857,935.4
20010807,2.210526316,1049.105263
20010808,2,658.9830508
20010809,2.178571429,1103.321429
20010810,2.28125,1034
20010811,2.239130435,1068.206522
20010812,2.322580645,1086.846774
20010813,2.023622047,970.2204724
20010814,1.972972973,982.0720721
20010815,2.275862069,1193
20010816,1.825,781.825
20010817,1.990384615,889.875
20010818,2,892.2666667
20010819,1.902439024,823.3658537
20010820,2.336734694,1233.479592
20010821,1.880952381,773.6309524
20010822,2.071428571,929.65
20010823,2.041666667,1103.25
20010824,1.855072464,893.3478261
20010825,2.15,967.55
20010826,1.967213115,952.2540984
20010827,2.254237288,1063.737288
20010828,1.886904762,926.9464286
20010829,2.103896104,1133.675325
20010830,2.185185185,1035.37037
20010831,1.761904762,1159.428571
20010901,2.25,1133
20010902,1.928571429,989.5714286
20010903,2.169354839,920.5725806
20010904,2.270588235,1047.729412
20010905,2.116666667,1104.466667
20010906,2.527027027,1017.486486
20010907,1.821428571,952.5267857
20010908,1.761904762,843.6428571
20010909,1.902777778,880.7222222
20010910,2.375,1052.277778
20010911,2.32,1036.4
20010912,1.924528302,880.0943396
20010913,1.590163934,761.7704918
20010914,1.894117647,995.4
20010915,2.028169014,983.8450704
20010916,1.84057971,1056.927536
20010917,1.83,892.34
20010918,2.098484848,1006.378788
20010919,2.155172414,1094
20010920,1.786259542,861.1068702
20010921,1.708860759,781.0886076
20010922,2.058333333,1074.8
20010923,2.044585987,893.0955414
20010924,2,1012.852941
20010925,2.05,1018.3
20010926,2.380952381,1119.809524
20010927,2.297619048,1050.47619
20010928,2.533333333,1221.5
20010930,1.511363636,811.125
20011001,2,935.6730769
20011002,2.666666667,1460.458333
20011003,1.824324324,939.0337838
20011004,2.25,1138.75
20011005,2.090909091,977.3838384
20011006,1.571428571,804.5714286
20011007,1.9375,1125.78125
20011008,2.325581395,1356.674419
20011009,2.8,1527.766667
20011010,2.18128655,1081.94152
20011011,2.014705882,1001.544118
20011012,1.522727273,865.8863636
20011013,1.833333333,877.9583333
20011014,2.333333333,1294.25
20011015,1.925925926,1047.191358
20011016,2.12605042,1083.142857
20011017,1.875,866.925
20011018,1.642857143,937.0714286
20011019,2.3125,1182.223214
20011020,1.990566038,1045.528302
20011021,1.982954545,1056.988636
20011022,1.888888889,880.6944444
20011023,1.857142857,876.5892857
20011024,2.048780488,861.4471545
20011025,2.09375,1076.135417
20011026,1.542372881,830.8135593
20011027,2.009615385,904.6346154
20011029,2.458333333,1585.333333
20011030,2,1006.85
20011031,2.595744681,1183.808511
20011101,1.875,924.625
20011102,1,605.625
20011103,2.145631068,1128.912621
20011104,2.434782609,1271.141304
20011105,2.093457944,1091.504673
20011106,2,1103.28125
20011107,1.25,588.95
20011108,2.375,868.78125
20011109,2.03125,972.3125
20011110,2.274193548,1304.419355
20011111,1.942307692,978.9903846
20011112,2.333333333,1116.52381
20011113,1.847222222,889.25
20011115,1.991071429,1202.330357
20011116,2.020833333,1081.604167
20011117,1.673333333,813.9133333
20011118,1.9375,1198.958333
20011119,2.166666667,1273.222222
20011120,2.088235294,851.8382353
20011121,2.325,1197.675
20011122,2.105263158,983.8421053
20011123,1.85,1063.5
20011124,1.955882353,1115.117647
20011125,2.151515152,1091.666667
20011126,2.435185185,1343.861111
20011127,1.818181818,920.9393939
20011128,1.981308411,975.4859813
20011129,1.965909091,958.1931818
20011130,1.942528736,1056.195402
20011201,1.625,1014.722222
20011202,2.126865672,967.9253731
20011203,2.357142857,1091.119048
20011204,2.166666667,858.0833333
20011205,1.902173913,933.8913043
20011206,2.5,1425.464286
20011207,2.065217391,974.6086957
20011208,1.938596491,956.9298246
20011209,1.958333333,976.625
20011210,1.964285714,1139.964286
20011211,2.201754386,1167.710526
20011212,3.2,1307.28
20011213,1.631578947,892.3289474
20011214,1.775,810.55
20011215,2.352941176,1095.632353
20011216,1.833333333,909.8333333
20011217,1.583333333,723.9166667
20011218,1.901515152,947.0454545
20011219,2.333333333,1275.583333
20011220,2.125,1080.458333
20011221,1.772727273,1060.284091
20011222,2.050847458,1209.355932
20011224,2.226277372,1033.554745
20011225,2.404761905,1300.22619
20011226,2.027777778,954.4444444
20011227,2.153846154,1183.5
20011228,2.056338028,1144.605634
20011229,1.973684211,996.6315789
20011230,2.325,1458.275
