日付,数量最小値,金額最小値
20010108,1,372
20010110,1,231
20010111,1,233
20010116,1,271
20010119,1,234
20010123,1,231
20010125,1,221
20010128,1,293
20010130,1,262
20010131,1,129
20010201,1,128
20010203,1,172
20010204,1,216
20010205,1,128
20010206,1,247
20010208,1,101
20010209,1,329
20010211,1,306
20010212,1,172
20010213,1,290
20010216,1,146
20010217,1,142
20010220,1,257
20010222,1,245
20010223,1,119
20010224,1,210
20010226,1,262
20010227,1,106
20010228,1,210
20010301,1,128
20010303,1,106
20010305,1,101
20010306,1,132
20010307,1,268
20010308,1,195
20010309,1,193
20010310,1,214
20010311,1,244
20010312,1,142
20010313,1,167
20010314,1,119
20010315,1,179
20010316,1,433
20010317,1,112
20010318,1,142
20010319,1,234
20010320,1,236
20010321,1,101
20010322,1,128
20010323,1,142
20010324,1,171
20010325,1,155
20010326,1,91
20010327,1,101
20010328,1,241
20010329,1,231
20010330,1,121
20010331,1,210
20010401,1,355
20010402,1,132
20010404,1,175
20010405,1,210
20010406,1,223
20010407,1,129
20010408,1,259
20010409,1,128
20010410,1,142
20010411,1,259
20010412,1,273
20010413,1,258
20010414,1,246
20010415,1,132
20010416,1,201
20010417,1,132
20010418,1,129
20010419,1,296
20010420,1,128
20010421,1,244
20010422,1,227
20010423,1,128
20010424,1,101
20010425,1,208
20010426,1,210
20010427,1,159
20010428,1,296
20010430,1,142
20010501,1,182
20010502,1,91
20010503,1,357
20010504,1,228
20010505,1,249
20010506,1,210
20010507,1,143
20010508,1,216
20010509,1,134
20010510,1,259
20010511,1,246
20010512,1,264
20010514,1,106
20010515,1,132
20010516,1,142
20010517,1,211
20010518,1,159
20010519,1,134
20010520,1,128
20010521,1,143
20010522,1,124
20010523,1,193
20010525,1,116
20010526,1,112
20010527,1,276
20010528,1,257
20010529,1,155
20010530,1,124
20010531,1,124
20010601,1,162
20010602,1,212
20010603,1,185
20010604,1,159
20010605,1,208
20010606,1,199
20010607,1,119
20010608,1,310
20010609,1,101
20010610,1,209
20010611,1,128
20010612,1,145
20010613,1,259
20010614,1,134
20010615,1,268
20010616,1,91
20010617,1,129
20010618,1,124
20010619,1,91
20010620,1,132
20010621,1,112
20010622,1,119
20010623,1,257
20010624,1,381
20010625,1,193
20010626,1,143
20010627,1,255
20010628,1,231
20010629,1,159
20010630,1,274
20010701,1,121
20010702,1,91
20010703,1,219
20010704,1,231
20010705,1,301
20010706,1,227
20010707,1,146
20010708,1,299
20010709,1,259
20010710,1,159
20010711,1,221
20010712,1,106
20010713,1,112
20010714,1,101
20010715,1,145
20010716,1,158
20010717,1,223
20010718,1,112
20010719,1,250
20010720,1,91
20010721,1,193
20010722,1,223
20010723,1,101
20010724,1,221
20010725,1,146
20010726,1,143
20010727,1,128
20010728,1,271
20010729,1,255
20010730,1,91
20010731,1,106
20010801,1,172
20010802,1,168
20010803,1,101
20010804,1,172
20010805,1,167
20010806,1,129
20010807,1,159
20010808,1,128
20010809,1,182
20010810,1,216
20010811,1,168
20010812,1,119
20010813,1,121
20010814,1,246
20010815,1,328
20010816,1,132
20010817,1,221
20010818,1,132
20010819,1,119
20010820,1,225
20010821,1,159
20010822,1,119
20010823,1,312
20010824,1,104
20010825,1,245
20010826,1,132
20010827,1,220
20010828,1,134
20010829,1,346
20010830,1,162
20010831,1,225
20010901,1,435
20010902,1,119
20010903,1,121
20010904,1,171
20010905,1,316
20010906,1,159
20010907,1,106
20010908,1,119
20010909,1,91
20010910,1,155
20010911,1,91
20010912,1,168
20010913,1,172
20010914,1,250
20010915,1,264
20010916,1,171
20010917,1,199
20010918,1,124
20010919,1,140
20010920,1,129
20010921,1,212
20010922,1,199
20010923,1,158
20010924,-0,-0
20010925,1,106
20010926,1,228
20010927,1,233
20010928,1,168
20010930,1,276
20011001,1,132
20011002,1,246
20011003,1,158
20011004,1,182
20011005,1,129
20011006,1,180
20011007,1,310
20011008,1,124
20011009,1,280
20011010,1,132
20011011,1,219
20011012,1,119
20011013,1,119
20011014,1,327
20011015,1,182
20011016,1,116
20011017,1,290
20011018,1,238
20011019,1,252
20011020,1,260
20011021,1,199
20011022,1,106
20011023,1,168
20011024,1,106
20011025,1,195
20011026,1,199
20011027,1,140
20011029,1,195
20011030,1,252
20011031,1,112
20011101,1,159
20011102,1,322
20011103,1,247
20011104,1,238
20011105,1,123
20011106,1,223
20011107,1,175
20011108,1,140
20011109,1,128
20011110,1,245
20011111,1,145
20011112,1,159
20011113,1,134
20011115,1,128
20011116,1,271
20011117,1,91
20011118,1,223
20011119,1,238
20011120,1,112
20011121,1,128
20011122,1,274
20011123,1,268
20011124,1,245
20011125,1,382
20011126,1,106
20011127,1,260
20011128,1,171
20011129,1,145
20011130,1,168
20011201,1,119
20011202,1,119
20011203,1,234
20011204,1,195
20011205,1,182
20011206,1,258
20011207,1,104
20011208,1,121
20011209,1,306
20011210,1,340
20011211,1,199
20011212,1,280
20011213,1,119
20011214,1,114
20011215,1,152
20011216,1,119
20011217,1,223
20011218,1,121
20011219,1,145
20011220,1,175
20011221,1,101
20011222,1,142
20011224,1,114
20011225,1,114
20011226,1,114
20011227,1,316
20011228,1,121
20011229,1,147
20011230,1,233
