メーカー,中分類,数量合計,金額合計
0000,13,4,1248
0002,11,36,9990
0011,11,9,1980
0013,11,318,172075
0018,11,68,23979
0019,11,25,13051
0023,11,174,98112
0024,14,21,10731
0025,13,106,50153
0026,13,48,17272
0034,11,21,5418
0038,11,66,44836
0039,11,11,5225
0048,11,197,79010
0052,11,114,38652
0054,11,10,4962
0054,13,168,85587
0061,11,130,55673
0062,11,135,61755
0064,11,16,3456
0068,11,145,98977
0076,11,15,5656
0079,11,76,12198
0080,14,49,14988
0085,11,114,33129
0090,11,17,6103
0093,11,8,3896
0094,14,167,83512
0096,14,27,12714
0099,14,85,36727
0104,11,165,57837
0104,13,74,17612
0107,11,191,97441
0108,14,175,91065
0109,11,152,48986
0110,11,12,4440
0112,11,106,21510
0115,11,39,16586
0119,11,15,4395
0120,13,112,64206
0121,11,64,26914
0125,14,30,4860
0126,11,122,39178
0129,14,129,32535
0134,11,75,21820
0136,11,89,35982
0138,11,123,53655
0140,11,131,60379
0143,11,88,11864
0147,11,39,16338
0147,14,100,44661
0151,11,188,96141
0152,11,24,12008
0153,14,106,38467
0155,11,13,4420
0158,11,105,27813
0164,14,47,28347
0165,13,8,4816
0171,11,210,82809
0174,13,13,3068
0175,14,222,84737
0178,11,80,32247
0179,11,37,5895
0188,11,230,157569
0189,11,142,71312
0189,14,61,26596
0191,11,261,124641
0192,11,116,68590
0193,11,137,56234
0194,14,21,6972
0198,14,47,20979
0203,14,49,30211
0207,13,67,49218
0208,11,69,29161
0218,11,1,240
0220,11,33,15075
0226,11,27,9747
0227,11,92,53598
0227,14,140,78060
0231,13,6,1182
0235,11,71,25020
0244,11,42,22176
0244,13,8,4424
0255,14,68,31785
0263,14,122,40614
0266,11,234,113256
0266,14,39,4596
0268,11,52,31464
0282,11,32,10615
0285,13,33,14355
0287,13,9,1611
0290,11,52,22632
0293,12,80,31955
0295,11,89,28494
0299,11,37,23791
0300,11,75,41333
0302,11,126,119811
0302,14,93,43189
0303,13,24,10440
0308,14,10,5760
0312,11,35,17107
0315,11,135,83370
0316,12,16,5568
0318,14,19,6821
0319,11,132,79999
0320,13,68,38580
0321,11,37,11901
0327,11,7,4601
0335,14,16,7376
0338,11,117,78841
0338,14,62,15449
0340,13,65,31771
0341,11,153,73800
0344,11,106,42600
0346,11,196,131581
0353,11,110,47032
0358,11,124,49098
0361,14,158,84409
0367,11,47,8861
0369,14,153,63345
0370,11,128,35407
0371,14,131,56298
0376,11,161,69265
0384,11,12,6396
0386,13,200,79104
0388,13,30,15150
0393,11,75,45924
0394,13,99,45764
0399,14,16,7472
0401,11,10,3610
0405,11,135,53293
0405,14,157,83089
0407,11,189,94272
0412,11,79,36669
0415,11,4,1768
0416,13,87,40865
0418,14,28,17160
0420,11,58,29737
0423,14,192,75144
0427,14,12,4404
0433,11,9,5499
0438,11,213,151670
0442,11,174,104785
0449,11,44,14744
0454,11,12,4809
0456,11,30,14640
0463,11,217,58848
0465,11,164,47871
0471,11,104,61521
0471,13,142,78186
0472,11,56,34039
0473,11,83,35665
0477,11,69,15094
0480,11,8,5088
0482,11,135,109345
0484,11,16,5769
0485,11,110,19413
0494,11,39,12831
0501,11,167,96177
0506,11,185,80846
0508,11,245,68312
0518,13,111,73168
0522,11,131,50030
0523,11,166,96630
0524,11,24,7896
0530,11,21,3612
0533,11,56,17766
0536,13,148,71611
0542,11,160,146565
0544,11,20,4695
0545,11,86,14806
0546,13,31,13219
0547,11,75,25263
0549,14,62,35772
0550,11,134,80729
0550,14,76,27892
0552,11,31,15651
0554,11,45,11637
0556,14,219,112219
0561,13,47,35807
0565,11,83,26381
0566,11,20,7620
0567,11,104,57688
0569,11,120,85694
0570,14,103,56154
0572,11,15,7057
0573,12,34,19890
0578,13,146,91619
0581,11,12,5640
0585,14,134,77063
0586,13,69,28246
0590,14,194,117962
0591,11,55,27833
0594,11,9,6354
0594,13,35,20167
0596,11,34,11775
0596,13,116,60079
0597,14,204,37118
0598,14,2,706
0604,14,103,55345
0605,11,129,44523
0606,13,106,34575
0610,11,36,17208
0612,11,21,14154
0614,14,87,36215
0616,11,148,89144
0617,11,86,17262
0617,14,58,23311
0621,11,105,58252
0621,13,23,5474
0623,11,104,57368
0649,11,116,70990
0663,11,144,45973
0670,14,21,10332
0674,11,34,5814
0675,14,27,13058
0678,11,117,48526
0678,14,85,63748
0679,11,175,79688
0686,11,4,1328
0690,11,149,125563
0691,14,12,5844
0694,14,171,70448
0701,11,156,71936
0707,14,160,134154
0712,11,13,4719
0712,13,101,52097
0713,11,205,107899
0714,14,50,13738
0716,11,6,3552
0717,11,115,35319
0725,11,116,20823
0728,11,194,225163
0729,11,82,30154
0735,11,8,3072
0736,11,118,54043
0742,11,33,6342
0744,11,92,46878
0745,11,176,65892
0749,14,85,43132
0750,14,29,10005
0751,11,201,67645
0752,11,39,14399
0760,14,27,6318
0764,11,5,2210
0769,14,133,36305
0773,13,25,6900
0773,14,92,44136
0777,11,54,26384
0779,11,18,3384
0779,13,64,17577
0779,14,38,18838
0780,11,9,2979
0781,11,122,42392
0786,11,15,7065
0788,14,78,29371
0789,11,8,2752
0793,13,49,37338
0796,11,5,2940
0799,11,100,52552
0802,11,50,24033
0804,11,37,17994
0807,11,128,24105
0811,13,9,2988
0813,14,9,4752
0823,11,55,33657
