メーカー,中分類,数量平均,金額平均
0000,13,1,312
0002,11,2.25,624.375
0011,11,2.25,495
0013,11,2.12,1147.166667
0018,11,1.888888889,666.0833333
0019,11,1.923076923,1003.923077
0023,11,2.047058824,1154.258824
0024,14,2.333333333,1192.333333
0025,13,1.796610169,850.0508475
0026,13,2.285714286,822.4761905
0034,11,2.625,677.25
0038,11,2.538461538,1724.461538
0039,11,2.75,1306.25
0048,11,1.894230769,759.7115385
0052,11,1.583333333,536.8333333
0054,11,1,496.2
0054,13,2.181818182,1111.519481
0061,11,2.407407407,1030.981481
0062,11,1.985294118,908.1617647
0064,11,1.333333333,288
0068,11,2.101449275,1434.449275
0076,11,1.25,471.3333333
0079,11,2.303030303,369.6363636
0080,14,2.227272727,681.2727273
0085,11,2.035714286,591.5892857
0090,11,1.888888889,678.1111111
0093,11,2,974
0094,14,2.256756757,1128.540541
0096,14,2.25,1059.5
0099,14,2.125,918.175
0104,11,1.875,657.2386364
0104,13,2.3125,550.375
0107,11,1.969072165,1004.546392
0108,14,2.011494253,1046.724138
0109,11,2.082191781,671.0410959
0110,11,1.5,555
0112,11,2.208333333,448.125
0115,11,1.625,691.0833333
0119,11,1.875,549.375
0120,13,2.036363636,1167.381818
0121,11,1.72972973,727.4054054
0125,14,1.875,303.75
0126,11,2.103448276,675.4827586
0129,14,2.047619048,516.4285714
0134,11,1.923076923,559.4871795
0136,11,1.854166667,749.625
0138,11,1.983870968,865.4032258
0140,11,2.046875,943.421875
0143,11,2.256410256,304.2051282
0147,11,1.857142857,778
0147,14,1.886792453,842.6603774
0151,11,2.088888889,1068.233333
0152,11,1.714285714,857.7142857
0153,14,2.465116279,894.5813953
0155,11,1.625,552.5
0158,11,2.56097561,678.3658537
0164,14,1.958333333,1181.125
0165,13,1,602
0171,11,2.038834951,803.9708738
0174,13,3.25,767
0175,14,2.242424242,855.9292929
0178,11,1.666666667,671.8125
0179,11,1.608695652,256.3043478
0188,11,2.254901961,1544.794118
0189,11,2.290322581,1150.193548
0189,14,2.772727273,1208.909091
0191,11,2.05511811,981.4251969
0192,11,2.230769231,1319.038462
0193,11,1.826666667,749.7866667
0194,14,2.625,871.5
0198,14,2.9375,1311.1875
0203,14,1.633333333,1007.033333
0207,13,1.861111111,1367.166667
0208,11,2.090909091,883.6666667
0218,11,1,240
0220,11,2.75,1256.25
0226,11,2.7,974.7
0227,11,1.916666667,1116.625
0227,14,1.891891892,1054.864865
0231,13,6,1182
0235,11,1.918918919,676.2162162
0244,11,1.75,924
0244,13,2,1106
0255,14,2,934.8529412
0263,14,2.392156863,796.3529412
0266,11,2.166666667,1048.666667
0266,14,3,353.5384615
0268,11,1.857142857,1123.714286
0282,11,2.666666667,884.5833333
0285,13,2.75,1196.25
0287,13,2.25,402.75
0290,11,1.925925926,838.2222222
0293,12,1.777777778,710.1111111
0295,11,2.225,712.35
0299,11,2.3125,1486.9375
0300,11,2.083333333,1148.138889
0302,11,1.880597015,1788.223881
0302,14,1.9375,899.7708333
0303,13,1.5,652.5
0308,14,1.428571429,822.8571429
0312,11,1.590909091,777.5909091
0315,11,2.076923077,1282.615385
0316,12,2,696
0318,14,2.375,852.625
0319,11,2.588235294,1568.607843
0320,13,1.789473684,1015.263158
0321,11,1.761904762,566.7142857
0327,11,1.4,920.2
0335,14,2,922
0338,11,2.387755102,1609
0338,14,1.377777778,343.3111111
0340,13,2.407407407,1176.703704
0341,11,2.467741935,1190.322581
0344,11,1.737704918,698.3606557
0346,11,1.849056604,1241.330189
0353,11,2.115384615,904.4615385
0358,11,1.746478873,691.5211268
0361,14,2.106666667,1125.453333
0367,11,1.88,354.44
0369,14,2.318181818,959.7727273
0370,11,1.882352941,520.6911765
0371,14,2.183333333,938.3
0376,11,1.987654321,855.1234568
0384,11,2,1066
0386,13,2.083333333,824
0388,13,2.142857143,1082.142857
0393,11,2.083333333,1275.666667
0394,13,1.903846154,880.0769231
0399,14,2,934
0401,11,2.5,902.5
0405,11,1.901408451,750.6056338
0405,14,1.9625,1038.6125
0407,11,2.123595506,1059.235955
0412,11,2.135135135,991.0540541
0415,11,1,442
0416,13,1.8125,851.3541667
0418,14,1.866666667,1144
0420,11,2.148148148,1101.37037
0423,14,2.064516129,808
0427,14,2.4,880.8
0433,11,2.25,1374.75
0438,11,2.476744186,1763.604651
0442,11,2.32,1397.133333
0449,11,2.095238095,702.0952381
0454,11,1.5,601.125
0456,11,1.666666667,813.3333333
0463,11,2.214285714,600.4897959
0465,11,2.186666667,638.28
0471,11,1.762711864,1042.728814
0471,13,2.290322581,1261.064516
0472,11,1.866666667,1134.633333
0473,11,2.59375,1114.53125
0477,11,2.029411765,443.9411765
0480,11,1,636
0482,11,1.875,1518.680556
0484,11,1.333333333,480.75
0485,11,1.617647059,285.4852941
0494,11,3,987
0501,11,2.113924051,1217.43038
0506,11,2.055555556,898.2888889
0508,11,2.130434783,594.0173913
0518,13,1.85,1219.466667
0522,11,1.794520548,685.3424658
0523,11,2.273972603,1323.69863
0524,11,1.5,493.5
0530,11,2.625,451.5
0533,11,1.866666667,592.2
0536,13,2.242424242,1085.015152
0542,11,2.077922078,1903.441558
0544,11,2.5,586.875
0545,11,2.324324324,400.1621622
0546,13,1.55,660.95
0547,11,1.973684211,664.8157895
0549,14,2.296296296,1324.888889
0550,11,2.350877193,1416.298246
0550,14,2.714285714,996.1428571
0552,11,2.583333333,1304.25
0554,11,1.956521739,505.9565217
0556,14,2.19,1122.19
0561,13,1.566666667,1193.566667
0565,11,1.765957447,561.2978723
0566,11,2.5,952.5
0567,11,2.363636364,1311.090909
0569,11,1.935483871,1382.16129
0570,14,2.239130435,1220.73913
0572,11,1.25,588.0833333
0573,12,1.619047619,947.1428571
0578,13,2.179104478,1367.447761
0581,11,3,1410
0585,14,2.061538462,1185.584615
0586,13,2.15625,882.6875
0590,14,2.179775281,1325.41573
0591,11,2.115384615,1070.5
0594,11,2.25,1588.5
0594,13,2.692307692,1551.307692
0596,11,2.125,735.9375
0596,13,2.32,1201.58
0597,14,2.344827586,426.6436782
0598,14,1,353
0604,14,2.102040816,1129.489796
0605,11,1.869565217,645.2608696
0606,13,1.892857143,617.4107143
0610,11,2.25,1075.5
0612,11,1.909090909,1286.727273
0614,14,2.071428571,862.2619048
0616,11,2.02739726,1221.150685
0617,11,2.047619048,411
0617,14,2.071428571,832.5357143
0621,11,1.810344828,1004.344828
0621,13,2.875,684.25
0623,11,1.824561404,1006.45614
0649,11,2.230769231,1365.192308
0663,11,2.057142857,656.7571429
0670,14,2.1,1033.2
0674,11,2.125,363.375
0675,14,3.375,1632.25
0678,11,1.918032787,795.5081967
0678,14,1.808510638,1356.340426
0679,11,2.302631579,1048.526316
0686,11,1,332
0690,11,1.795180723,1512.807229
0691,14,3,1461
0694,14,2.192307692,903.1794872
0701,11,2.4,1106.707692
0707,14,2.31884058,1944.26087
0712,11,1.625,589.875
0712,13,1.771929825,913.9824561
0713,11,2.113402062,1112.360825
0714,14,2,549.52
0716,11,2,1184
0717,11,2.053571429,630.6964286
0725,11,2,359.0172414
0728,11,2.131868132,2474.318681
0729,11,1.708333333,628.2083333
0735,11,2,768
0736,11,2.034482759,931.7758621
0742,11,2.0625,396.375
0744,11,2.555555556,1302.166667
0745,11,2.146341463,803.5609756
0749,14,2.361111111,1198.111111
0750,14,1.611111111,555.8333333
0751,11,2.284090909,768.6931818
0752,11,2.4375,899.9375
0760,14,2.076923077,486
0764,11,1.666666667,736.6666667
0769,14,1.955882353,533.8970588
0773,13,2.083333333,575
0773,14,2.19047619,1050.857143
0777,11,1.928571429,942.2857143
0779,11,4.5,846
0779,13,2.206896552,606.1034483
0779,14,2.375,1177.375
0780,11,2.25,744.75
0781,11,2.301886792,799.8490566
0786,11,1.25,588.75
0788,14,2.228571429,839.1714286
0789,11,2,688
0793,13,2.45,1866.9
0796,11,2.5,1470
0799,11,1.785714286,938.4285714
0802,11,1.851851852,890.1111111
0804,11,1.947368421,947.0526316
0807,11,2.285714286,430.4464286
0811,13,2.25,747
0813,14,2.25,1188
0823,11,1.964285714,1202.035714
0824,11,1.923076923,494.0769231
0824,14,2.125,729.375
0828,11,1.777777778,673.7777778
0828,12,1.444444444,767
0835,11,1,368
0836,11,1,199
0836,13,2.25,1413
0844,11,1.933823529,986.6544118
0846,14,2.133333333,513.2
0854,11,2.117647059,446.8235294
0854,13,1.918032787,721.7704918
0856,14,2.254237288,1109.915254
0869,11,1.836065574,499.442623
0870,11,2.260869565,1428.26087
0871,11,2.666666667,1223.5
0875,11,2.25,1032.75
0876,11,1.905660377,935.3584906
0887,13,2.25,1250.71875
0891,14,1.6,606.4
0894,14,2.204081633,1376.142857
0898,14,2.5,1307.5
0901,11,2.296296296,671.962963
0904,11,1.741935484,777
0907,11,2.5,795
0909,11,2,918.4615385
0910,14,2.583333333,1434.625
0915,11,2,996
0918,14,1.658536585,1309.487805
0921,14,2,1283.181818
0928,11,2.272727273,475.6363636
0929,11,1.791666667,1128.694444
0931,11,2.089285714,948.5535714
0932,11,1,258
0934,14,1.829268293,216.3658537
0938,11,2.375,988.5
0939,11,2.409836066,750.295082
0939,14,1.909090909,728.4545455
0942,11,2.25,1419.75
0949,14,1.803921569,780.7058824
0951,11,1.923076923,838.4615385
0952,11,2.6,967.2
0956,11,1.803921569,339.4901961
0960,11,2.428571429,789.2857143
0960,14,1.32,371.52
0967,13,1,318
0969,11,1.739130435,1081.26087
0971,13,2.163636364,702
0976,13,2.4,1159.2
0977,11,2.294117647,889.5294118
0979,13,3,927
0983,14,2.5,1210.08
0984,11,1,361
0996,11,2.25,786.75
0997,11,1,471
1001,11,1.931818182,1253.045455
1006,11,2.084745763,781.8135593
1007,11,1.8625,603.4375
1012,11,1.8125,586.0625
1013,11,2.111111111,1106.208333
1015,11,1.375,339.625
1017,13,2.178571429,935.6428571
1021,11,2.191304348,570.0608696
1024,11,1,268
1032,11,1.835443038,861.8101266
1033,13,1.944444444,954.4583333
1034,11,2.75,618.75
1035,11,1.625,589.875
1038,14,1.333333333,483
