中分類,メーカー,数量,金額,数量累計,金額累計
11,0002,36,9990,36,9990
11,0011,9,1980,45,11970
11,0013,318,172075,363,184045
11,0018,68,23979,431,208024
11,0019,25,13051,456,221075
11,0023,174,98112,630,319187
11,0034,21,5418,651,324605
11,0038,66,44836,717,369441
11,0039,11,5225,728,374666
11,0048,197,79010,925,453676
11,0052,114,38652,1039,492328
11,0054,10,4962,1049,497290
11,0061,130,55673,1179,552963
11,0062,135,61755,1314,614718
11,0064,16,3456,1330,618174
11,0068,145,98977,1475,717151
11,0076,15,5656,1490,722807
11,0079,76,12198,1566,735005
11,0085,114,33129,1680,768134
11,0090,17,6103,1697,774237
11,0093,8,3896,1705,778133
11,0104,165,57837,1870,835970
11,0107,191,97441,2061,933411
11,0109,152,48986,2213,982397
11,0110,12,4440,2225,986837
11,0112,106,21510,2331,1008347
11,0115,39,16586,2370,1024933
11,0119,15,4395,2385,1029328
11,0121,64,26914,2449,1056242
11,0126,122,39178,2571,1095420
11,0134,75,21820,2646,1117240
11,0136,89,35982,2735,1153222
11,0138,123,53655,2858,1206877
11,0140,131,60379,2989,1267256
11,0143,88,11864,3077,1279120
11,0147,39,16338,3116,1295458
11,0151,188,96141,3304,1391599
11,0152,24,12008,3328,1403607
11,0155,13,4420,3341,1408027
11,0158,105,27813,3446,1435840
11,0171,210,82809,3656,1518649
11,0178,80,32247,3736,1550896
11,0179,37,5895,3773,1556791
11,0188,230,157569,4003,1714360
11,0189,142,71312,4145,1785672
11,0191,261,124641,4406,1910313
11,0192,116,68590,4522,1978903
11,0193,137,56234,4659,2035137
11,0208,69,29161,4728,2064298
11,0218,1,240,4729,2064538
11,0220,33,15075,4762,2079613
11,0226,27,9747,4789,2089360
11,0227,92,53598,4881,2142958
11,0235,71,25020,4952,2167978
11,0244,42,22176,4994,2190154
11,0266,234,113256,5228,2303410
11,0268,52,31464,5280,2334874
11,0282,32,10615,5312,2345489
11,0290,52,22632,5364,2368121
11,0295,89,28494,5453,2396615
11,0299,37,23791,5490,2420406
11,0300,75,41333,5565,2461739
11,0302,126,119811,5691,2581550
11,0312,35,17107,5726,2598657
11,0315,135,83370,5861,2682027
11,0319,132,79999,5993,2762026
11,0321,37,11901,6030,2773927
11,0327,7,4601,6037,2778528
11,0338,117,78841,6154,2857369
11,0341,153,73800,6307,2931169
11,0344,106,42600,6413,2973769
