顧客,日付,日数
00000A,20011209,341
00000A,20011209,341
00000A,20011209,341
00000A,20011209,341
00000A,20011217,349
00000A,20011217,349
00000A,20011217,349
00000B,20011209,341
00000B,20011209,341
00000B,20011209,341
00000B,20011209,341
00000B,20011217,349
00000B,20011217,349
00000B,20011217,349
00000C,20011209,341
00000C,20011209,341
00000C,20011209,341
00000C,20011209,341
00000C,20011217,349
00000C,20011217,349
00000C,20011217,349
00000D,20011209,341
00000D,20011209,341
00000D,20011209,341
00000D,20011209,341
00000D,20011217,349
00000D,20011217,349
00000D,20011217,349
00001A,20011124,326
00001A,20011124,326
00001A,20011124,326
00001A,20011124,326
00001A,20011124,326
00001A,20011124,326
00001A,20011211,343
00001A,20011211,343
00001A,20011211,343
00001A,20011211,343
00001A,20011211,343
00001A,20011211,343
00001A,20011215,347
00001B,20011124,326
00001B,20011124,326
00001B,20011124,326
00001B,20011124,326
00001B,20011124,326
00001B,20011124,326
00001B,20011211,343
00001B,20011211,343
00001B,20011211,343
00001B,20011211,343
00001B,20011211,343
00001B,20011211,343
00001B,20011215,347
00001C,20011124,326
00001C,20011124,326
00001C,20011124,326
00001C,20011124,326
00001C,20011124,326
00001C,20011124,326
00001C,20011211,343
00001C,20011211,343
00001C,20011211,343
00001C,20011211,343
00001C,20011211,343
00001C,20011211,343
00001C,20011215,347
00001D,20011124,326
00001D,20011124,326
00001D,20011124,326
00001D,20011124,326
00001D,20011124,326
00001D,20011124,326
00001D,20011211,343
00001D,20011211,343
00001D,20011211,343
00001D,20011211,343
00001D,20011211,343
00001D,20011211,343
00001D,20011215,347
00002A,20010417,105
00002A,20010417,105
00002A,20010417,105
00002A,20010417,105
00002A,20010417,105
00002A,20010417,105
00002A,20010618,167
00002A,20010618,167
00002A,20010618,167
00002A,20010618,167
00002A,20010618,167
00002A,20010715,194
00002A,20010715,194
00002A,20010715,194
00002A,20010718,197
00002A,20010718,197
00002A,20010718,197
00002A,20010718,197
00002A,20010718,197
00002B,20010417,105
00002B,20010417,105
00002B,20010417,105
00002B,20010417,105
00002B,20010417,105
00002B,20010417,105
00002B,20010618,167
00002B,20010618,167
00002B,20010618,167
00002B,20010618,167
00002B,20010618,167
00002B,20010715,194
00002B,20010715,194
00002B,20010715,194
00002B,20010718,197
00002B,20010718,197
00002B,20010718,197
00002B,20010718,197
00002B,20010718,197
00002C,20010417,105
00002C,20010417,105
00002C,20010417,105
00002C,20010417,105
00002C,20010417,105
00002C,20010417,105
00002C,20010618,167
00002C,20010618,167
00002C,20010618,167
00002C,20010618,167
00002C,20010618,167
00002C,20010715,194
00002C,20010715,194
00002C,20010715,194
00002C,20010718,197
00002C,20010718,197
00002C,20010718,197
00002C,20010718,197
00002C,20010718,197
00002D,20010417,105
00002D,20010417,105
00002D,20010417,105
00002D,20010417,105
00002D,20010417,105
00002D,20010417,105
00002D,20010618,167
00002D,20010618,167
00002D,20010618,167
00002D,20010618,167
00002D,20010618,167
00002D,20010715,194
00002D,20010715,194
00002D,20010715,194
00002D,20010718,197
00002D,20010718,197
00002D,20010718,197
00002D,20010718,197
00002D,20010718,197
00003A,20010826,236
00003A,20010826,236
00003A,20010826,236
00003A,20010826,236
00003A,20010826,236
00003A,20010826,236
00003A,20011129,331
00003A,20011129,331
00003A,20011129,331
00003A,20011129,331
00003A,20011129,331
00003A,20011129,331
00003A,20011218,350
00003A,20011218,350
00003A,20011218,350
00003A,20011218,350
00003A,20011218,350
00003A,20011218,350
00003A,20011218,350
00003A,20011218,350
00003A,20011218,350
00003A,20011218,350
00003A,20011218,350
00003B,20010826,236
00003B,20010826,236
00003B,20010826,236
00003B,20010826,236
00003B,20010826,236
00003B,20010826,236
00003B,20011129,331
00003B,20011129,331
00003B,20011129,331
00003B,20011129,331
00003B,20011129,331
00003B,20011129,331
00003B,20011218,350
00003B,20011218,350
00003B,20011218,350
00003B,20011218,350
00003B,20011218,350
00003B,20011218,350
00003B,20011218,350
00003B,20011218,350
00003B,20011218,350
00003B,20011218,350
00003B,20011218,350
00003C,20010826,236
00003C,20010826,236
00003C,20010826,236
00003C,20010826,236
00003C,20010826,236
00003C,20010826,236
00003C,20011129,331
00003C,20011129,331
00003C,20011129,331
00003C,20011129,331
00003C,20011129,331
00003C,20011129,331
00003C,20011218,350
00003C,20011218,350
00003C,20011218,350
00003C,20011218,350
00003C,20011218,350
00003C,20011218,350
00003C,20011218,350
00003C,20011218,350
00003C,20011218,350
00003C,20011218,350
00003C,20011218,350
00003D,20010826,236
00003D,20010826,236
00003D,20010826,236
00003D,20010826,236
00003D,20010826,236
00003D,20010826,236
00003D,20011129,331
00003D,20011129,331
00003D,20011129,331
00003D,20011129,331
00003D,20011129,331
00003D,20011129,331
00003D,20011218,350
00003D,20011218,350
00003D,20011218,350
00003D,20011218,350
00003D,20011218,350
00003D,20011218,350
00003D,20011218,350
00003D,20011218,350
00003D,20011218,350
00003D,20011218,350
00003D,20011218,350
00004A,20010224,53
00004A,20010224,53
00004A,20010224,53
00004A,20010224,53
00004A,20010227,56
00004A,20010227,56
00004A,20010227,56
00004A,20010227,56
00004A,20010227,56
00004A,20010227,56
00004A,20010227,56
00004A,20010227,56
00004A,20010325,82
00004A,20010325,82
00004A,20010325,82
00004A,20010325,82
00004A,20010325,82
00004A,20010325,82
00004A,20010325,82
00004A,20010612,161
00004A,20010612,161
00004A,20010612,161
00004A,20010612,161
00004A,20010612,161
00004A,20010612,161
00004B,20010224,53
00004B,20010224,53
00004B,20010224,53
00004B,20010224,53
00004B,20010227,56
00004B,20010227,56
00004B,20010227,56
00004B,20010227,56
00004B,20010227,56
00004B,20010227,56
00004B,20010227,56
00004B,20010227,56
00004B,20010325,82
00004B,20010325,82
00004B,20010325,82
00004B,20010325,82
00004B,20010325,82
00004B,20010325,82
00004B,20010325,82
00004B,20010612,161
00004B,20010612,161
00004B,20010612,161
00004B,20010612,161
00004B,20010612,161
00004B,20010612,161
00004C,20010224,53
00004C,20010224,53
00004C,20010224,53
00004C,20010224,53
00004C,20010227,56
00004C,20010227,56
00004C,20010227,56
00004C,20010227,56
00004C,20010227,56
00004C,20010227,56
00004C,20010227,56
00004C,20010227,56
00004C,20010325,82
00004C,20010325,82
00004C,20010325,82
00004C,20010325,82
00004C,20010325,82
00004C,20010325,82
00004C,20010325,82
00004C,20010612,161
00004C,20010612,161
00004C,20010612,161
00004C,20010612,161
00004C,20010612,161
00004C,20010612,161
00004D,20010224,53
00004D,20010224,53
00004D,20010224,53
00004D,20010224,53
00004D,20010227,56
00004D,20010227,56
00004D,20010227,56
00004D,20010227,56
00004D,20010227,56
00004D,20010227,56
00004D,20010227,56
00004D,20010227,56
00004D,20010325,82
00004D,20010325,82
00004D,20010325,82
00004D,20010325,82
00004D,20010325,82
00004D,20010325,82
00004D,20010325,82
00004D,20010612,161
00004D,20010612,161
00004D,20010612,161
00004D,20010612,161
00004D,20010612,161
00004D,20010612,161
00005A,20010228,57
00005A,20010228,57
00005A,20010228,57
00005A,20010228,57
00005A,20010228,57
00005A,20010228,57
00005B,20010228,57
00005B,20010228,57
00005B,20010228,57
00005B,20010228,57
00005B,20010228,57
00005B,20010228,57
00005C,20010228,57
00005C,20010228,57
00005C,20010228,57
00005C,20010228,57
00005C,20010228,57
00005C,20010228,57
00005D,20010228,57
00005D,20010228,57
00005D,20010228,57
00005D,20010228,57
00005D,20010228,57
00005D,20010228,57
00006A,20010531,149
00006A,20010531,149
00006A,20010531,149
00006A,20010531,149
