日付,数量合計,金額合計
20010401,51,23062
20010402,87,34346
20010404,191,73527
20010405,278,118509
20010406,198,84189
20010407,159,67568
20010408,40,14128
20010409,134,51564
20010410,95,32202
20010411,43,16549
20010412,87,39103
20010413,140,55397
20010414,82,32226
20010415,267,112444
20010416,89,28947
20010417,226,83463
20010418,246,97470
20010419,71,35439
20010420,142,58326
20010421,162,71943
20010422,69,26691
20010423,302,105460
20010424,111,36941
20010425,226,84035
20010426,68,26752
20010427,196,84443
20010428,71,32336
20010430,210,90753
20010501,252,109616
20010502,276,102285
20010503,18,6966
20010504,187,81741
20010505,253,103820
20010506,227,94425
20010507,209,93535
20010508,184,81297
20010509,296,113099
20010510,42,17702
20010511,109,58170
20010512,53,19766
20010514,262,110121
20010515,282,121915
20010516,135,53174
20010517,139,55891
20010518,234,87845
20010519,94,34834
20010520,336,139688
20010521,310,126459
20010522,173,69154
20010523,182,80659
20010525,101,36167
20010526,34,14367
20010527,59,25495
20010528,100,41660
20010529,68,26839
20010530,209,90955
20010531,226,94202
20010701,370,171362
20010702,169,70516
20010703,87,36373
20010704,79,38793
20010705,32,15307
20010706,212,101207
20010707,240,107003
20010708,32,13691
20010709,68,28766
20010710,268,123486
20010711,298,122478
20010712,146,64775
20010713,199,99153
20010714,421,184643
20010715,232,112218
20010716,159,66174
20010717,116,50949
20010718,145,64261
20010719,199,89163
20010720,377,177132
20010721,115,56570
20010722,98,43767
20010723,427,197993
20010724,177,77504
20010725,143,64482
20010726,142,59529
20010727,339,160869
20010728,123,52939
20010729,187,91636
20010730,233,106682
20010731,151,73395
