日付,数量,金額
20010108,1,441
20010108,1,372
20010108,1,446
20010110,5,1155
20010110,6,1446
20010110,1,271
20010110,6,3198
20010110,1,348
20010110,1,461
20010110,1,363
20010111,1,290
20010111,5,1165
20010111,1,387
20010111,1,375
20010111,1,687
20010111,1,500
20010111,1,448
20010111,5,1645
20010111,1,397
20010111,1,428
20010111,7,3717
20010111,4,1704
20010116,5,2655
20010116,1,427
20010116,1,271
20010116,1,357
20010116,1,491
20010116,1,467
20010116,1,458
20010119,6,3168
20010119,1,531
20010119,5,2680
20010119,4,1224
20010119,1,433
20010119,3,1488
20010119,1,492
20010119,5,3960
20010119,7,1687
20010119,1,238
20010119,5,1230
20010119,1,234
20010119,5,2405
20010119,1,301
20010119,1,359
20010119,1,474
20010119,1,328
20010119,1,479
20010119,1,505
20010119,1,549
20010119,3,1401
20010123,2,564
20010123,1,401
20010123,1,528
20010123,1,436
20010123,3,813
20010123,1,419
20010125,1,221
20010125,1,625
20010125,5,1550
20010125,6,2304
20010125,1,346
20010128,5,1790
20010128,1,293
20010128,1,387
20010128,1,446
20010128,1,357
20010130,1,362
20010130,1,294
20010130,2,544
20010130,1,280
20010130,1,329
20010130,1,403
20010130,5,2090
20010130,1,262
20010130,1,526
20010130,7,3290
20010130,5,2115
20010130,1,494
20010130,1,331
20010130,5,2445
20010130,1,289
20010130,1,545
20010130,4,1416
20010130,1,290
20010130,1,318
20010130,1,358
20010130,1,584
20010130,1,333
20010130,1,466
20010130,1,289
20010131,1,129
20010201,1,128
20010203,6,1032
20010204,4,1956
20010204,4,964
20010204,1,350
20010204,1,476
20010204,1,547
20010204,5,2340
20010204,1,259
20010204,1,289
20010204,2,578
20010204,1,310
20010204,1,216
20010204,1,289
20010204,1,316
20010204,1,403
20010204,1,650
20010204,6,3216
20010204,1,358
20010204,1,367
20010204,5,2330
20010205,4,1728
20010205,1,576
20010205,5,1560
20010205,1,362
20010205,6,2514
20010205,1,293
20010205,1,128
20010205,1,423
20010206,1,247
20010206,5,3045
20010206,1,268
20010206,1,743
20010206,5,1470
20010206,1,332
20010206,1,324
20010206,1,307
20010206,1,377
20010208,1,433
20010208,3,906
20010208,1,276
20010208,1,385
20010208,1,290
20010208,1,650
20010208,1,362
20010208,7,2212
20010208,1,500
20010208,5,1115
20010208,1,101
20010208,1,268
20010208,1,258
20010209,4,2092
20010209,1,329
20010209,3,1542
20010209,1,329
20010209,5,2340
20010211,1,510
20010211,1,306
20010211,1,312
20010211,1,465
20010211,1,552
20010211,1,307
20010211,1,541
20010211,5,1750
20010211,1,418
20010212,3,516
20010212,1,922
20010212,1,514
20010212,1,526
20010212,1,270
20010212,6,3000
20010212,1,362
20010212,1,500
20010212,1,272
20010213,1,345
20010213,5,1450
20010213,5,1560
20010213,3,1083
20010213,1,548
20010213,1,466
20010213,5,1810
20010213,1,407
20010213,1,523
20010216,5,1615
20010216,1,403
20010216,1,384
20010216,1,618
20010216,1,146
20010216,1,363
20010216,1,403
20010216,1,259
20010216,1,481
20010216,1,268
20010216,1,403
20010216,1,496
20010216,1,329
20010216,1,358
20010216,1,357
20010216,5,1265
20010216,1,403
20010216,1,531
20010216,1,423
20010216,1,433
20010216,1,377
20010216,1,324
20010216,1,609
20010216,1,158
20010216,1,249
20010216,1,332
20010216,1,185
20010216,1,432
20010216,1,271
20010217,1,320
20010217,1,372
20010217,1,314
20010217,1,362
20010217,1,238
20010217,3,426
20010217,5,1920
20010217,1,535
20010217,1,357
20010220,1,371
20010220,1,385
20010220,1,257
20010222,5,2155
20010222,1,249
20010222,5,1225
20010222,6,3708
20010222,7,2212
20010222,1,635
20010222,1,433
20010222,1,301
20010223,1,431
20010223,5,2180
20010223,1,289
20010223,1,119
20010223,1,292
20010223,1,428
20010223,1,227
20010223,1,403
20010223,5,1900
20010223,1,128
20010223,1,276
20010223,4,2180
20010223,6,3066
20010223,1,489
20010223,5,1205
20010223,1,337
20010223,1,461
20010224,1,270
20010224,1,210
20010224,1,319
20010224,1,481
20010224,1,487
20010224,7,3255
20010224,3,1428
20010224,1,559
20010224,1,385
20010224,5,3715
20010224,1,371
20010224,1,441
20010224,1,445
20010224,5,2795
20010224,7,4375
20010224,1,514
20010224,4,1748
20010224,4,2984
20010224,1,270
20010224,1,293
20010224,1,511
20010224,1,528
20010224,1,263
20010224,1,289
20010224,1,238
20010226,1,485
20010226,1,354
20010226,5,1655
20010226,5,1875
20010226,1,315
20010226,1,441
20010226,1,514
20010226,1,426
20010226,1,596
20010226,5,1645
20010226,1,324
20010226,7,2604
20010226,1,435
20010226,5,1290
20010227,5,1465
20010227,1,441
20010227,5,2965
20010227,1,372
20010227,1,271
20010227,5,620
20010227,1,121
20010227,1,380
20010227,1,384
20010227,5,530
20010227,4,1500
20010227,5,2230
20010227,6,3210
20010227,1,415
20010227,1,423
20010227,1,437
20010227,1,214
20010227,1,271
20010227,1,462
20010227,1,377
20010227,1,333
20010227,1,418
20010227,5,2035
20010227,7,2926
20010227,1,431
20010227,1,249
20010227,1,406
20010227,6,2142
20010227,5,1935
20010228,1,496
20010228,1,271
20010228,1,289
20010228,1,748
20010228,1,292
20010228,1,511
20010228,1,520
