日付,数量合計,金額合計
20011021,214,123242
20011022,80,38684
20011023,50,25825
20011024,146,62205
20011025,131,65976
20011026,41,22767
20011027,118,55565
20011029,84,59467
20011030,48,24449
20011031,88,44073
20011101,34,16885
20011103,147,79582
20011104,160,87417
20011105,138,77453
20011106,39,21334
20011107,5,2745
20011108,33,14444
20011109,73,39790
20011110,99,59438
20011111,119,61622
20011112,137,68258
20011113,65,37583
20011115,130,86602
20011116,65,36197
20011117,111,62657
20011118,61,41175
20011119,50,33840
20011120,76,33091
20011121,62,33938
20011122,51,23598
20011123,21,13043
20011124,84,49736
20011125,45,21187
20011126,179,107904
20011127,34,19532
20011128,122,65201
20011129,100,52521
20011130,101,57770
20011201,59,40449
20011202,178,86601
20011203,75,35050
20011204,17,6531
20011205,97,50484
20011206,49,30249
20011207,174,87444
20011208,252,132064
20011209,31,15212
20011210,34,19251
20011211,168,93668
20011212,68,26584
20011213,55,37541
20011214,31,17086
20011215,100,49693
20011216,86,44570
20011217,9,4236
20011218,153,77431
20011219,107,65816
20011220,98,56823
20011221,91,61450
20011222,66,51017
20011224,200,100434
20011225,139,78056
20011226,47,22993
20011227,73,40428
20011228,192,113043
20011229,175,91180
20011230,64,44151
