中分類,小分類,数量,金額,数量シェア,金額シェア
11,1101,3758,1526511,0.111655822,0.09960763423
11,1102,1698,732146,0.05045012925,0.04777386535
11,1103,1160,500887,0.03446534153,0.03268379271
11,1104,2019,1024216,0.05998752117,0.06683196695
11,1105,2847,1611468,0.08458864426,0.1051512338
11,1106,1100,484361,0.03268265145,0.03160544098
11,1107,1946,911273,0.05781858157,0.05946222966
11,1108,1157,410367,0.03437620703,0.02677719717
11,1110,1478,577858,0.04391359895,0.03770629121
11,1111,1768,744427,0.05252993434,0.04857522306
11,1112,1450,732630,0.04308167692,0.04780544724
11,1113,1150,445836,0.03416822652,0.02909161429
11,1114,212,80084,0.00629883828,0.005225627447
11,1115,2194,1106249,0.0651870339,0.07218477021
11,1116,1144,542858,0.03398995751,0.03542247721
11,1117,938,489566,0.02786938824,0.03194507675
11,1118,1125,435023,0.03342543899,0.02838604626
11,1119,2791,1262170,0.08292480019,0.08235890059
11,1120,960,411380,0.02852304127,0.02684329728
11,1121,2430,1122457,0.07219894821,0.07324237185
11,1197,332,173474,0.009864218439,0.01131949573
12,1201,191,90786,0.451536643,0.4454639575
12,1202,62,24718,0.146572104,0.121284979
12,1203,10,4495,0.02364066194,0.02205582897
12,1297,160,83802,0.378250591,0.4111952346
13,1301,3950,1866912,0.7003546099,0.6879748706
13,1302,567,306470,0.1005319149,0.1129371168
13,1303,532,246968,0.09432624113,0.09101006252
13,1304,591,293284,0.104787234,0.1080779501
14,1401,1843,810577,0.1657523159,0.1611062626
14,1402,1321,673276,0.118805648,0.1338169971
14,1403,3093,1255886,0.2781724975,0.2496136699
14,1404,1097,505196,0.09865995143,0.1004102503
14,1406,3413,1641330,0.306952064,0.3262226068
14,1497,352,145054,0.03165752316,0.02883021331
