小分類,小分類名
1101,調味料
1102,食用油
1103,スプレッド類
1104,乳製品
1105,調理品
1106,スープ
1107,冷凍食品
1108,缶詰
1110,粉類
1111,ホームメーキング材料
1112,麺類
1113,パン・シリアル類
1114,穀物
1115,加工肉類
1116,練り製品
1117,漬物・佃煮
1118,水物
1119,惣菜類
1120,農産乾物
1121,加工水産
1197,その他加工食品
1201,水産
1202,畜産
1203,農産
1297,その他生鮮食品
1301,菓子
1302,デザート・ヨーグルト
1303,珍味
1304,アイスクリーム類
1397,その他菓子類
1401,嗜好飲料
1402,果実飲料
1403,清涼飲料
1404,乳飲料
1406,アルコール飲料
1407,酒類を含むセット商品
1497,その他飲料・酒類
1901,乳幼児食品
1902,健康食品
1903,食品贈答品
1997,その他食品
1999,食品不明
2101,口中衛生用品
2102,石鹸類
2103,衛生紙用品
2104,衛生医療用品・用具
2105,育児用品類
2106,衣料用洗剤類
2107,住居用洗剤類
2108,台所・食器用洗剤類
2109,住居・環境用剤
2110,家庭用つや出し、ワックス剤
2111,殺虫・防虫剤
2197,その他日用雑貨
2199,日用雑貨不明
2201,栄養保健薬
2202,神経・呼吸器官用薬
2203,消化器官用薬
2204,感覚器官及び外皮用薬
2205,漢方薬
2297,その他医薬品
2299,医薬品不明
2301,基礎化粧品
2302,メイクアップ化粧品
2303,フレグランス
2304,頭髪化粧品
2305,男性化粧品
2306,化粧小物
2397,その他化粧品
2399,化粧品不明
2401,食品包装
2402,掃除用品
2403,洗濯・物干し用品
2404,台所用品
2405,浴室・トイレ用品
2406,食卓用品
2407,調理用品
2408,リビング用品
2497,その他家庭用品
2499,家庭用品不明
2501,建築・塗装用具
2502,建築・塗装材料
2503,ガス・水道部品
2504,園芸用品
2597,その他ＤＩＹ用品
2599,ＤＩＹ用品不明
2601,ペットフード
2602,ペット用剤
2603,ペット用具
2697,その他ペット用品
2699,ペット用品不明
2901,日用贈答品
2903,フィルム
2904,オーディオ・ビデオテ−プ
2997,その他日用品
2999,日用品不明
3101,情報整理用品
3102,ファイル・バインダー
3103,事務用品
3104,筆記用具
3105,紙製品
3106,日用紙製品
3107,教育関連用品
3108,電子文具
3109,事務用機器
3110,事務機械
3111,ＯＡサプライズ
3112,設計製図用品
3113,デザイン画材用品
3115,オフィス家具
3116,携帯文具
3117,文具、事務用品贈答品
3118,文具関連電気用品
3197,一般文具・事務用品・情報文具
3201,一般ゲーム
3202,パズル
3203,電子ゲーム
3204,テレビゲーム・パソコン
3205,男児キャラクター
3206,アクショントーイ
3207,ミニカー
3208,レールトーイ
3209,コントロール・サイエンストーイ
3210,きせかえ
3211,ままごと
3212,女児ホビー
3213,トイドール
3214,知育・音楽玩具
3215,保育玩具
3216,ファンシー
3217,ぬいぐるみ
3218,プラモデル
3219,ラジオコントロール
3220,鉄道模型
3221,ガン
3222,クラフト・アダルトホビー
3223,ホビー関連用品
3224,ギフト人形
3225,季節用品
3226,花火
3227,小物玩具
3228,スポーツ
3229,乗物
3297,その他
3299,玩具不明
3397,一般書籍
3399,書籍不明
3401,ピアノ類
3402,オルガン類
3403,管楽器
3404,弦楽器
3405,打楽器
3406,電子楽器及び電気楽器
3407,和楽器
3408,楽器の部分品・附属品
3409,記録物類
3497,一般楽器・音響ソフト
3499,楽器・音響ソフト不明
3599,スポーツ用品不明
3601,デジタル型
3602,アナログ型
3603,ハイブリット型
3604,システム・プログラム
3605,アプリケーション・プログラム
3606,有線通信装置
3697,一般情報機器
3699,情報機器不明
3901,マッチ、ろうそく、くん（薫）物、線香
3902,裁縫用小物用具
3903,標識及び広告用品
3904,宗教用具
3997,一般文化用品
3999,文化用品不明
4201,たんす
4202,戸だな
4203,たな
4204,箱
4205,フォノキャビネット
4206,机
4207,テーブル（卓子）
4208,鏡台
4209,台
4210,いす（椅子）・腰掛け
4211,ベッド
4212,マットレス
4213,金庫
4214,ロッカー
4215,器物台
4297,一般家具
4299,家具不明
4301,車用品
4303,自転車
4305,単車
4397,一般車両用品
4399,車用品不明
4401,時計
4402,時計関連用品
4405,メガネ
4497,一般時計・メガネ
4499,時計・メガネ不明
4501,カメラ
4502,交換レンズ
4503,光学機器
4504,写真用品
4505,フィルム
4597,その他光学・写真関連品
4599,光学・写真関連品不明
4601,テレビ関連
4603,ビデオ関連
4605,ＶＤＰ関連
4607,コンポ，ステレオ関連
4609,ステレオ
4611,オーディオ，その他
4613,テレコ，ラジオ関連
4615,カーコンポ関連
4617,トランシーバー，拡声器関連
4619,磁気テープ等
4621,ルームエアコン，空調機器及び付属品
4623,扇風機
4625,全室暖房
4627,部分暖房機
4629,厨房機器
4631,レンジ
4633,回転調理器
4635,電熱調理器
4637,調理関連
4639,冷蔵機器
4641,家事用品
4643,理美容用品
4645,健康医療機器
4647,照明用品
4649,事務機・学用品
4651,時計・カメラ
4653,楽器
4655,ＯＡ機器
4657,住設用品
4659,大工・園芸品，レジャー用品
4661,消耗家電
4663,消耗部品
4697,その他家電
4699,家電不明
4901,美術工芸品
4902,カメラ
4903,ミシン
4904,貴金属
4997,一般耐久消費財
4999,耐久消費財不明
5101,肌着・靴下
5102,子供衣料
5103,紳士衣料
5104,婦人衣料
5105,スポーツウェア
5106,呉服
5107,フォーマル
5108,ジーンズ
5197,一般衣料・衣服
5199,衣料・衣服不明
5301,ふとん
5302,毛布
5303,カバー・シーツ
5304,ベッド用品
5305,コタツ用品
5306,ベビー寝具
5307,寝装品
5308,タオル製品
5309,室内用品
5397,一般寝・寝装品
5399,寝具・寝装品不明
5401,子供服飾
5402,紳士服飾
5403,婦人服飾
5404,和装用身の回り品
