細分類,細分類名
110101,醤油
110103,砂糖
110105,低カロリー甘味料
110107,味噌
110109,食塩
110111,食酢
110113,合わせ酢（和風）
110115,みりん風調味料
110117,料理用日本酒
110119,料理用ワイン
110121,風味調味料
110123,液体だし
110125,単一・複合調味料
110129,ソース
110131,ケチャップ
110133,焼き肉のたれ
110135,その他のたれ
110137,マヨネーズ
110139,ドレッシング
110141,香辛料（からし・わさび以外）
110142,からし・わさび
110143,つゆ
110149,中華調味料
110197,その他調味料
110203,ゴマ油
110205,サラダ・天ぷら油
110207,動物性油脂
110209,オリーブ油
110211,香味油
110297,その他食用油
110301,ピーナッツ・チョコクリーム
110303,ジャム・マーマレード
110397,その他スプレッド類
110401,バター
110403,マーガリン・ファットスプレッド類
110405,チーズ
110407,インスタントクリームパウダー
110409,スキムミルク
110411,練りミルク
110413,フレッシュクリーム
110415,ホイップクリーム
110497,その他乳製品
110501,インスタントカレー
110502,調理済みカレー
110503,インスタントシチュー
110504,調理済みシチュー
110505,ソースミックス
110507,中華の素
110509,まぜ御飯の素
110511,米飯加工品
110513,レンジ専用食品
110515,ふりかけ
110517,お茶漬の素
110597,その他調理品
110601,調理用スープ
110603,インスタントスープ
110605,インスタント味噌汁・吸物
110697,その他スープ
110701,冷凍水産素材
110703,冷凍畜肉素材
110705,冷凍農産素材
110707,冷凍調理
110721,ピザ・グラタン類
110723,冷凍麺
110725,冷凍米飯加工品
110791,氷
110797,その他冷凍食品
110801,水産缶詰（マグロ・カツオ以外）
110802,マグロ・カツオ缶詰
110803,野菜缶詰
110805,果実・デザート缶詰
110807,畜産缶詰
110897,その他缶詰
111001,小麦粉
111003,天ぷら粉
111005,パン粉
111007,唐揚げ粉類
111009,片栗粉
111011,きな粉
111015,米粉
111097,その他粉類
111101,プレミックス
111105,蜂蜜
111107,水飴
111109,シロップ
111111,生地・皮
111113,デザートの素
111197,その他ホームメイキング材料
111201,インスタント袋麺
111203,カップ麺
111205,乾麺
111207,生麺・ゆで麺
111209,スパゲッティ
111211,マカロニ
111297,その他麺類
111301,食パン
111303,菓子パン
111305,調理パン
111307,シリアル類
111397,その他パン
111401,米
111405,包装餅
111497,その他穀物
111501,畜肉ハム
111503,畜肉ソーセージ
111505,魚肉ハム
111507,魚肉ソーセージ
111509,焼き豚
111511,ベーコン
111597,その他加工肉類
111601,蒲鉾
111603,竹輪
111605,はんぺん
111607,揚げ物
111697,その他練り製品
111701,漬物
111703,佃煮
111705,いりぬか・漬け物の素
111797,その他漬物・佃煮
111801,豆腐
111803,コンニャク
111805,油揚げ
111807,納豆
111897,その他水物
111901,サラダ
111903,煮豆
111905,和惣菜
111907,中華惣菜
111909,洋惣菜
111997,その他惣菜
112001,ゴマ
112003,干し椎茸
112005,豆類
112097,その他農産乾物
112101,のり
112105,わかめ
112107,昆布
112109,その他海藻類
112111,削り節・かつお節
112113,煮干
112197,その他加工水産
119701,産加工品
119703,産加工品
119705,産加工品
119797,の他加工食品
120197,その他水産
120297,その他畜産
120397,その他農産
129797,その他生鮮食品
130121,キャンディ・キャラメル
130123,チョコレ−ト
130125,チュ−インガム
130127,ビスケット・クッキ−
