店,日付,時間,レシート,顧客,商品,大分類,中分類,小分類,細分類,メーカー,ブランド,仕入単価,単価,数量,金額,仕入金額,粗利金額
B,20010108,142748,1000000,00245B,0000384,1,14,1402,140205,0556,055600,286,372,6,2232,1716,516
B,20010108,142748,1000000,00245B,0000311,1,11,1116,111603,1776,177601,339,441,1,441,339,102
B,20010108,142748,1000000,00245B,0000304,1,11,1107,110707,1487,148704,343,446,1,446,343,103
B,20010110,121010,1000001,00228B,0000486,1,11,1108,110801,1315,131504,208,271,1,271,208,63
B,20010110,121010,1000001,00228B,0000136,1,14,1404,140497,1472,147200,279,363,5,1815,1395,420
B,20010110,121010,1000001,00228B,0000426,1,11,1106,110601,1763,176305,177,231,1,231,177,54
B,20010110,121010,1000001,00228B,0000313,1,11,1119,111997,1378,137803,185,241,1,241,185,56
B,20010110,121010,1000001,00228B,0000393,1,11,1105,110517,1889,188901,410,533,1,533,410,123
B,20010110,121010,1000001,00228B,0000332,1,11,1107,110721,0550,055003,354,461,5,2305,1770,535
B,20010110,121010,1000001,00228B,0000472,1,14,1402,140205,1974,197403,267,348,1,348,267,81
B,20010111,143007,1000002,00091B,0000337,1,11,1101,110105,1021,102100,179,233,1,233,179,54
B,20010111,143007,1000002,00091B,0000504,1,11,1121,112113,0358,035804,297,387,1,387,297,90
B,20010111,143007,1000002,00091B,0000306,1,13,1301,130135,0536,053604,288,375,1,375,288,87
B,20010111,143007,1000002,00091B,0000603,1,14,1404,140403,1336,133600,223,290,5,1450,1115,335
B,20010111,153018,1000003,00220B,0000405,1,13,1301,130123,1310,131000,408,531,1,531,408,123
B,20010111,153018,1000003,00220B,0000280,1,14,1403,140316,0175,017501,253,329,5,1645,1265,380
B,20010111,153018,1000003,00220B,0000618,1,11,1105,110501,0679,067905,528,687,1,687,528,159
B,20010111,153018,1000003,00220B,0000508,1,11,1117,111701,0471,047104,344,448,1,448,344,104
B,20010111,153018,1000003,00220B,0000374,1,11,1117,111701,0151,015100,329,428,1,428,329,99
B,20010111,153018,1000003,00220B,0000427,1,11,1105,110503,1032,103200,305,397,1,397,305,92
B,20010111,153018,1000003,00220B,0000323,1,14,1406,140697,1714,171400,327,426,1,426,327,99
B,20010111,153018,1000003,00220B,0000343,1,11,1104,110407,0189,018903,384,500,1,500,384,116
B,20010116,171401,1000004,00041B,0000491,1,13,1304,130497,0578,057800,377,491,4,1964,1508,456
B,20010116,171401,1000004,00041B,0000062,1,11,1113,111397,1898,189803,328,427,1,427,328,99
B,20010116,171401,1000004,00041B,0000405,1,13,1301,130123,1310,131000,408,531,1,531,408,123
B,20010116,171401,1000004,00041B,0000261,1,11,1111,111113,1771,177104,274,357,1,357,274,83
B,20010116,171401,1000004,00041B,0000512,1,11,1118,111807,1133,113302,352,458,1,458,352,106
B,20010116,171401,1000004,00041B,0000376,1,11,1119,111905,0346,034600,359,467,1,467,359,108
B,20010116,171401,1000004,00041B,0000438,1,14,1403,140309,1100,110001,208,271,6,1626,1248,378
B,20010119,111636,1000007,00228B,0000304,1,11,1107,110707,1487,148704,343,446,1,446,343,103
B,20010119,111636,1000007,00228B,0000405,1,13,1301,130123,1310,131000,408,531,1,531,408,123
B,20010119,111636,1000007,00228B,0000409,1,13,1301,130125,1033,103300,333,433,1,433,333,100
B,20010119,111636,1000007,00228B,0000452,1,11,1108,110802,0506,050602,235,306,1,306,235,71
B,20010119,111636,1000007,00228B,0000461,1,14,1406,140671,0894,089401,381,496,1,496,381,115
B,20010119,111636,1000007,00228B,0000421,1,11,1105,110597,0616,061601,412,536,1,536,412,124
B,20010119,142920,1000006,00118B,0000305,1,11,1101,110129,1765,176502,185,241,5,1205,925,280
B,20010119,142920,1000006,00118B,0000404,1,11,1115,111597,0728,072803,609,792,1,792,609,183
B,20010119,142920,1000006,00118B,0000223,1,13,1301,130131,0104,010402,183,238,4,952,732,220
B,20010119,142920,1000006,00118B,0000108,1,13,1301,130137,1157,115702,378,492,5,2460,1890,570
B,20010119,142920,1000006,00118B,0000344,1,11,1104,110411,0370,037000,189,246,1,246,189,57
B,20010119,182143,1000005,00099B,0000669,1,14,1404,140497,0675,067503,368,479,6,2874,2208,666
B,20010119,182143,1000005,00099B,0000400,1,11,1112,111209,1444,144403,252,328,4,1312,1008,304
B,20010119,182143,1000005,00099B,0000274,1,11,1121,112107,0472,047200,359,467,1,467,359,108
B,20010119,182143,1000005,00099B,0000567,1,11,1104,110403,0744,074400,364,474,1,474,364,110
B,20010119,182143,1000005,00099B,0000484,1,11,1105,110509,1221,122103,180,234,1,234,180,54
B,20010119,182143,1000005,00099B,0000254,1,11,1115,111597,1124,112402,370,481,1,481,370,111
B,20010119,182143,1000005,00099B,0000462,1,14,1406,140681,1674,167405,231,301,1,301,231,70
B,20010119,182143,1000005,00099B,0000161,1,14,1403,140315,0318,031803,276,359,1,359,276,83
B,20010119,182143,1000005,00099B,0000325,1,14,1406,140663,1421,142101,388,505,1,505,388,117
B,20010119,182143,1000005,00099B,0000221,1,13,1303,130303,1137,113701,422,549,6,3294,2532,762
B,20010123,113648,1000008,00168B,0000596,1,14,1401,140111,1068,106801,406,528,1,528,406,122
B,20010123,113648,1000008,00168B,0000449,1,14,1406,140631,1215,121503,322,419,5,2095,1610,485
B,20010123,113648,1000008,00168B,0000309,1,13,1303,130301,0394,039401,308,401,1,401,308,93
B,20010123,113648,1000008,00168B,0000665,1,11,1112,111209,0951,095102,335,436,1,436,335,101
B,20010123,113648,1000008,00168B,0000426,1,11,1106,110601,1763,176305,177,231,1,231,177,54
B,20010123,113648,1000008,00168B,0000425,1,11,1116,111601,1736,173603,208,271,8,2168,1664,504
B,20010125,151137,1000009,00181B,0000353,1,11,1118,111803,1908,190802,266,346,3,1038,798,240
B,20010125,151137,1000009,00181B,0000405,1,13,1301,130123,1310,131000,408,531,1,531,408,123
B,20010125,151137,1000009,00181B,0000258,1,11,1105,110505,1021,102101,170,221,1,221,170,51
B,20010125,151137,1000009,00181B,0000429,1,11,1119,111997,1117,111700,295,384,1,384,295,89
B,20010125,151137,1000009,00181B,0000252,1,14,1404,140401,0153,015302,238,310,1,310,238,72
B,20010128,150428,1000010,00044B,0000471,1,11,1115,111511,1361,136102,275,358,1,358,275,83
B,20010128,150428,1000010,00044B,0000277,1,11,1103,110303,1193,119305,225,293,5,1465,1125,340
B,20010128,150428,1000010,00044B,0000493,1,11,1113,111305,1755,175504,274,357,1,357,274,83
B,20010128,150428,1000010,00044B,0000345,1,11,1121,112105,0188,018800,343,446,1,446,343,103
B,20010128,150428,1000010,00044B,0000504,1,11,1121,112113,0358,035804,297,387,1,387,297,90
B,20010130,103152,1000013,00041B,0000280,1,14,1403,140316,0175,017501,253,329,1,329,253,76
B,20010130,103152,1000013,00041B,0000428,1,11,1107,110791,0126,012600,215,280,1,280,215,65
B,20010130,103152,1000013,00041B,0000380,1,11,1121,112105,0109,010905,209,272,1,272,209,63
