店,日付,時間,レシート,顧客,商品,大分類,中分類,小分類,細分類,メーカー,ブランド,仕入単価,単価,数量,金額,仕入金額,粗利金額
D,20010108,142748,1000000,00245D,0000311,1,11,1116,111603,1776,177601,339,441,1,441,339,102
D,20010108,142748,1000000,00245D,0000304,1,11,1107,110707,1487,148704,343,446,1,446,343,103
D,20010108,142748,1000000,00245D,0000384,1,14,1402,140205,0556,055600,286,372,1,372,286,86
D,20010110,121010,1000001,00228D,0000472,1,14,1402,140205,1974,197403,267,348,5,1740,1335,405
D,20010110,121010,1000001,00228D,0000136,1,14,1404,140497,1472,147200,279,363,5,1815,1395,420
D,20010110,121010,1000001,00228D,0000486,1,11,1108,110801,1315,131504,208,271,1,271,208,63
D,20010110,121010,1000001,00228D,0000332,1,11,1107,110721,0550,055003,354,461,1,461,354,107
D,20010110,121010,1000001,00228D,0000426,1,11,1106,110601,1763,176305,177,231,5,1155,885,270
D,20010110,121010,1000001,00228D,0000393,1,11,1105,110517,1889,188901,410,533,1,533,410,123
D,20010110,121010,1000001,00228D,0000313,1,11,1119,111997,1378,137803,185,241,1,241,185,56
D,20010111,143007,1000002,00091D,0000504,1,11,1121,112113,0358,035804,297,387,1,387,297,90
D,20010111,143007,1000002,00091D,0000337,1,11,1101,110105,1021,102100,179,233,1,233,179,54
D,20010111,143007,1000002,00091D,0000603,1,14,1404,140403,1336,133600,223,290,1,290,223,67
D,20010111,143007,1000002,00091D,0000306,1,13,1301,130135,0536,053604,288,375,1,375,288,87
D,20010111,153018,1000003,00220D,0000618,1,11,1105,110501,0679,067905,528,687,6,4122,3168,954
D,20010111,153018,1000003,00220D,0000343,1,11,1104,110407,0189,018903,384,500,3,1500,1152,348
D,20010111,153018,1000003,00220D,0000405,1,13,1301,130123,1310,131000,408,531,1,531,408,123
D,20010111,153018,1000003,00220D,0000280,1,14,1403,140316,0175,017501,253,329,1,329,253,76
D,20010111,153018,1000003,00220D,0000427,1,11,1105,110503,1032,103200,305,397,1,397,305,92
D,20010111,153018,1000003,00220D,0000323,1,14,1406,140697,1714,171400,327,426,1,426,327,99
D,20010111,153018,1000003,00220D,0000508,1,11,1117,111701,0471,047104,344,448,1,448,344,104
D,20010111,153018,1000003,00220D,0000374,1,11,1117,111701,0151,015100,329,428,1,428,329,99
D,20010116,171401,1000004,00041D,0000512,1,11,1118,111807,1133,113302,352,458,6,2748,2112,636
D,20010116,171401,1000004,00041D,0000062,1,11,1113,111397,1898,189803,328,427,5,2135,1640,495
D,20010116,171401,1000004,00041D,0000438,1,14,1403,140309,1100,110001,208,271,1,271,208,63
D,20010116,171401,1000004,00041D,0000261,1,11,1111,111113,1771,177104,274,357,1,357,274,83
D,20010116,171401,1000004,00041D,0000405,1,13,1301,130123,1310,131000,408,531,1,531,408,123
D,20010116,171401,1000004,00041D,0000376,1,11,1119,111905,0346,034600,359,467,1,467,359,108
D,20010116,171401,1000004,00041D,0000491,1,13,1304,130497,0578,057800,377,491,1,491,377,114
D,20010119,111636,1000007,00228D,0000304,1,11,1107,110707,1487,148704,343,446,4,1784,1372,412
D,20010119,111636,1000007,00228D,0000405,1,13,1301,130123,1310,131000,408,531,1,531,408,123
D,20010119,111636,1000007,00228D,0000409,1,13,1301,130125,1033,103300,333,433,6,2598,1998,600
D,20010119,111636,1000007,00228D,0000421,1,11,1105,110597,0616,061601,412,536,6,3216,2472,744
D,20010119,111636,1000007,00228D,0000452,1,11,1108,110802,0506,050602,235,306,1,306,235,71
D,20010119,111636,1000007,00228D,0000461,1,14,1406,140671,0894,089401,381,496,1,496,381,115
D,20010119,142920,1000006,00118D,0000305,1,11,1101,110129,1765,176502,185,241,1,241,185,56
D,20010119,142920,1000006,00118D,0000404,1,11,1115,111597,0728,072803,609,792,5,3960,3045,915
D,20010119,142920,1000006,00118D,0000344,1,11,1104,110411,0370,037000,189,246,1,246,189,57
D,20010119,142920,1000006,00118D,0000223,1,13,1301,130131,0104,010402,183,238,1,238,183,55
D,20010119,142920,1000006,00118D,0000108,1,13,1301,130137,1157,115702,378,492,7,3444,2646,798
D,20010119,182143,1000005,00099D,0000567,1,11,1104,110403,0744,074400,364,474,7,3318,2548,770
D,20010119,182143,1000005,00099D,0000221,1,13,1303,130303,1137,113701,422,549,1,549,422,127
D,20010119,182143,1000005,00099D,0000462,1,14,1406,140681,1674,167405,231,301,1,301,231,70
D,20010119,182143,1000005,00099D,0000254,1,11,1115,111597,1124,112402,370,481,5,2405,1850,555
D,20010119,182143,1000005,00099D,0000484,1,11,1105,110509,1221,122103,180,234,1,234,180,54
D,20010119,182143,1000005,00099D,0000325,1,14,1406,140663,1421,142101,388,505,7,3535,2716,819
D,20010119,182143,1000005,00099D,0000669,1,14,1404,140497,0675,067503,368,479,4,1916,1472,444
D,20010119,182143,1000005,00099D,0000274,1,11,1121,112107,0472,047200,359,467,1,467,359,108
D,20010119,182143,1000005,00099D,0000400,1,11,1112,111209,1444,144403,252,328,4,1312,1008,304
D,20010119,182143,1000005,00099D,0000161,1,14,1403,140315,0318,031803,276,359,6,2154,1656,498
D,20010123,113648,1000008,00168D,0000426,1,11,1106,110601,1763,176305,177,231,1,231,177,54
D,20010123,113648,1000008,00168D,0000309,1,13,1303,130301,0394,039401,308,401,1,401,308,93
D,20010123,113648,1000008,00168D,0000665,1,11,1112,111209,0951,095102,335,436,4,1744,1340,404
D,20010123,113648,1000008,00168D,0000596,1,14,1401,140111,1068,106801,406,528,1,528,406,122
D,20010123,113648,1000008,00168D,0000449,1,14,1406,140631,1215,121503,322,419,1,419,322,97
D,20010123,113648,1000008,00168D,0000425,1,11,1116,111601,1736,173603,208,271,6,1626,1248,378
D,20010125,151137,1000009,00181D,0000252,1,14,1404,140401,0153,015302,238,310,1,310,238,72
D,20010125,151137,1000009,00181D,0000429,1,11,1119,111997,1117,111700,295,384,1,384,295,89
D,20010125,151137,1000009,00181D,0000353,1,11,1118,111803,1908,190802,266,346,1,346,266,80
D,20010125,151137,1000009,00181D,0000405,1,13,1301,130123,1310,131000,408,531,1,531,408,123
D,20010125,151137,1000009,00181D,0000258,1,11,1105,110505,1021,102101,170,221,1,221,170,51
D,20010128,150428,1000010,00044D,0000504,1,11,1121,112113,0358,035804,297,387,1,387,297,90
D,20010128,150428,1000010,00044D,0000277,1,11,1103,110303,1193,119305,225,293,6,1758,1350,408
D,20010128,150428,1000010,00044D,0000493,1,11,1113,111305,1755,175504,274,357,1,357,274,83
D,20010128,150428,1000010,00044D,0000345,1,11,1121,112105,0188,018800,343,446,3,1338,1029,309
D,20010128,150428,1000010,00044D,0000471,1,11,1115,111511,1361,136102,275,358,1,358,275,83
D,20010130,103152,1000013,00041D,0000280,1,14,1403,140316,0175,017501,253,329,1,329,253,76
D,20010130,103152,1000013,00041D,0000428,1,11,1107,110791,0126,012600,215,280,1,280,215,65
D,20010130,103152,1000013,00041D,0000380,1,11,1121,112105,0109,010905,209,272,1,272,209,63
D,20010130,103152,1000013,00041D,0000424,1,11,1111,111113,1484,148401,226,294,6,1764,1356,408
D,20010130,103152,1000013,00041D,0000278,1,11,1107,110725,0140,014000,278,362,1,362,278,84
D,20010130,173809,1000012,00021D,0000414,1,11,1117,111701,1705,170501,310,403,6,2418,1860,558
D,20010130,173809,1000012,00021D,0000260,1,11,1121,112107,1431,143106,325,423,1,423,325,98
D,20010130,173809,1000012,00021D,0000518,1,11,1110,111011,1369,136902,361,470,1,470,361,109
D,20010130,173809,1000012,00021D,0000235,1,11,1104,110413,1523,152302,321,418,1,418,321,97
D,20010130,173809,1000012,00021D,0000396,1,14,1401,140103,1489,148900,404,526,1,526,404,122
D,20010130,173809,1000012,00021D,0000346,1,13,1301,130129,0518,051802,380,494,1,494,380,114
D,20010130,173809,1000012,00021D,0000469,1,11,1113,111303,1417,141703,201,262,1,262,201,61
D,20010130,173809,1000012,00021D,0000392,1,14,1401,140107,1376,137605,254,331,1,331,254,77
D,20010130,185345,1000011,00018D,0000455,1,14,1406,140681,0361,036103,376,489,1,489,376,113
D,20010130,185345,1000011,00018D,0000291,1,11,1112,111211,1364,136402,272,354,1,354,272,82
D,20010130,185345,1000011,00018D,0000444,1,11,1116,111603,0315,031501,419,545,1,545,419,126
D,20010130,185345,1000011,00018D,0000208,1,11,1112,111203,0777,077700,358,466,1,466,358,108
D,20010130,185345,1000011,00018D,0000603,1,14,1404,140403,1336,133600,223,290,1,290,223,67
D,20010130,185345,1000011,00018D,0000145,1,11,1105,110505,1725,172504,449,584,1,584,449,135
D,20010130,185345,1000011,00018D,0000471,1,11,1115,111511,1361,136102,275,358,1,358,275,83
D,20010130,185345,1000011,00018D,0000362,1,11,1119,111901,0171,017104,222,289,6,1734,1332,402
D,20010130,185345,1000011,00018D,0000362,1,11,1119,111901,0171,017104,222,289,1,289,222,67
D,20010130,185345,1000011,00018D,0000255,1,14,1406,140621,1894,189400,256,333,1,333,256,77
D,20010130,185345,1000011,00018D,0000237,1,11,1101,110111,0295,029502,244,318,5,1590,1220,370
D,20010131,080841,1000014,00217D,0000215,1,11,1119,111907,0143,014301,99,129,1,129,99,30
D,20010201,113401,1000015,00118D,0000481,1,11,1103,110301,1896,189601,98,128,1,128,98,30
D,20010203,121000,1000016,00179D,0000024,1,11,1197,119797,0530,053001,132,172,1,172,132,40
D,20010204,100417,1000018,00261D,0000535,1,11,1105,110504,1013,101300,376,489,1,489,376,113
D,20010204,100417,1000018,00261D,0000345,1,11,1121,112105,0188,018800,343,446,1,446,343,103
D,20010204,100417,1000018,00261D,0000305,1,11,1101,110129,1765,176502,185,241,1,241,185,56
D,20010204,100417,1000018,00261D,0000387,1,14,1403,140325,1291,129100,269,350,3,1050,807,243
D,20010204,100417,1000018,00261D,0000364,1,13,1301,130137,1772,177201,366,476,1,476,366,110
D,20010204,213040,1000017,00217D,0000574,1,14,1401,140101,1632,163202,222,289,1,289,222,67
D,20010204,213040,1000017,00217D,0000362,1,11,1119,111901,0171,017104,222,289,5,1445,1110,335
D,20010204,213040,1000017,00217D,0000485,1,14,1403,140315,0129,012907,166,216,1,216,166,50
D,20010204,213040,1000017,00217D,0000382,1,11,1119,111905,1336,133601,282,367,1,367,282,85
D,20010204,213040,1000017,00217D,0000780,1,11,1112,111297,1869,186901,360,468,6,2808,2160,648
D,20010204,213040,1000017,00217D,0000331,1,11,1102,110207,0193,019301,275,358,1,358,275,83
D,20010204,213040,1000017,00217D,0000545,1,11,1121,112111,0729,072900,199,259,1,259,199,60
D,20010204,213040,1000017,00217D,0000270,1,11,1115,111507,0605,060502,238,310,1,310,238,72
D,20010204,213040,1000017,00217D,0000357,1,11,1105,110505,0013,001300,500,650,5,3250,2500,750
D,20010204,213040,1000017,00217D,0000303,1,14,1406,140611,0856,085602,310,403,1,403,310,93
D,20010204,213040,1000017,00217D,0000208,1,11,1112,111203,0777,077700,358,588,1,588,358,230
D,20010204,213040,1000017,00217D,0000249,1,11,1103,110397,0393,039303,412,536,1,536,412,124
D,20010204,213040,1000017,00217D,0000299,1,11,1110,111003,0565,056500,222,289,1,289,222,67
D,20010204,213040,1000017,00217D,0000379,1,12,1201,120197,1725,172506,243,316,4,1264,972,292
D,20010205,130123,1000020,00179D,0000207,1,11,1115,111509,1170,117003,332,432,1,432,332,100
D,20010205,130123,1000020,00179D,0000149,1,14,1406,140661,0308,030800,443,576,1,576,443,133
D,20010205,140338,1000019,00084D,0000576,1,11,1102,110207,1579,157902,322,419,1,419,322,97
D,20010205,140338,1000019,00084D,0000260,1,11,1121,112107,1431,143106,325,423,4,1692,1300,392
D,20010205,140338,1000019,00084D,0000442,1,11,1101,110197,0266,026600,240,312,1,312,240,72
D,20010205,140338,1000019,00084D,0000385,1,11,1106,110605,1175,117501,278,362,1,362,278,84
D,20010205,140338,1000019,00084D,0000481,1,11,1103,110301,1896,189601,98,128,1,128,98,30
D,20010205,140338,1000019,00084D,0000277,1,11,1103,110303,1193,119305,225,293,1,293,225,68
D,20010206,172546,1000021,00091D,0000474,1,11,1118,111897,1812,181200,190,247,1,247,190,57
D,20010206,172546,1000021,00091D,0000308,1,14,1404,140407,0707,070700,468,609,1,609,468,141
